,id_producto,producto,prod_gener,rango,id_cat,categoria,media_rango,precio_rango
44,243,Heladera-R3,Heladera,R3,2,Electrodomésticos,111.3,91-123
45,251,Horno eléctrico-R1,Horno eléctrico,R1,2,Electrodomésticos,43.7,27-58
46,252,Horno eléctrico-R2,Horno eléctrico,R2,2,Electrodomésticos,74.12,58-93
47,253,Horno eléctrico-R3,Horno eléctrico,R3,2,Electrodomésticos,108.25,93-124
48,261,Jarrón decorativo-R1,Jarrón decorativo,R1,1,Decoración,40.31,27-58
49,262,Jarrón decorativo-R2,Jarrón decorativo,R2,1,Decoración,74.99,58-89
50,263,Jarrón decorativo-R3,Jarrón decorativo,R3,1,Decoración,109.64,89-126
51,271,Laptop-R1,Laptop,R1,3,Electrónica,40.31,27-58
52,272,Laptop-R2,Laptop,R2,3,Electrónica,74.99,58-89
53,273,Laptop-R3,Laptop,R3,3,Electrónica,109.64,89-126
54,281,Lavadora-R1,Lavadora,R1,2,Electrodomésticos,39.53,26-55
55,282,Lavadora-R2,Lavadora,R2,2,Electrodomésticos,75.24,55-92
56,283,Lavadora-R3,Lavadora,R3,2,Electrodomésticos,109.06,92-124
57,291,Lámpara de mesa-R1,Lámpara de mesa,R1,1,Decoración,42.82,25-57
58,292,Lámpara de mesa-R2,Lámpara de mesa,R2,1,Decoración,70.69,57-83
59,293,Lámpara de mesa-R3,Lámpara de mesa,R3,1,Decoración,104.05,83-126
60,301,Microondas-R1,Microondas,R1,2,Electrodomésticos,48.6,26-67
61,302,Microondas-R2,Microondas,R2,2,Electrodomésticos,80.0,67-94
62,303,Microondas-R3,Microondas,R3,2,Electrodomésticos,108.3,94-126
63,311,Parlantes Bluetooth-R1,Parlantes Bluetooth,R1,3,Electrónica,38.93,25-61
64,312,Parlantes Bluetooth-R2,Parlantes Bluetooth,R2,3,Electrónica,75.02,61-89
65,313,Parlantes Bluetooth-R3,Parlantes Bluetooth,R3,3,Electrónica,106.71,89-125
66,321,Plancha de vapor-R1,Plancha de vapor,R1,2,Electrodomésticos,39.1,26-55
67,322,Plancha de vapor-R2,Plancha de vapor,R2,2,Electrodomésticos,71.18,55-88
68,323,Plancha de vapor-R3,Plancha de vapor,R3,2,Electrodomésticos,107.78,88-125
69,331,Proyector-R1,Proyector,R1,3,Electrónica,43.48,26-63
70,332,Proyector-R2,Proyector,R2,3,Electrónica,74.21,63-86
71,333,Proyector-R3,Proyector,R3,3,Electrónica,106.31,86-125
72,341,Rincón de plantas-R1,Rincón de plantas,R1,1,Decoración,41.8,25-63
73,342,Rincón de plantas-R2,Rincón de plantas,R2,1,Decoración,76.32,63-86
74,343,Rincón de plantas-R3,Rincón de plantas,R3,1,Decoración,105.95,86-124
75,351,Secadora-R1,Secadora,R1,2,Electrodomésticos,37.83,26-50
76,352,Secadora-R2,Secadora,R2,2,Electrodomésticos,71.34,50-93
77,353,Secadora-R3,Secadora,R3,2,Electrodomésticos,109.75,93-125
78,361,SmartWatch-R1,SmartWatch,R1,3,Electrónica,41.74,25-55
79,362,SmartWatch-R2,SmartWatch,R2,3,Electrónica,74.82,55-91
80,363,SmartWatch-R3,SmartWatch,R3,3,Electrónica,110.01,91-126
81,371,Smartphone-R1,Smartphone,R1,3,Electrónica,45.26,26-64
82,372,Smartphone-R2,Smartphone,R2,3,Electrónica,82.78,64-101
83,373,Smartphone-R3,Smartphone,R3,3,Electrónica,115.09,101-126
84,381,Tablet-R1,Tablet,R1,3,Electrónica,43.16,26-62
85,382,Tablet-R2,Tablet,R2,3,Electrónica,71.96,62-81
86,383,Tablet-R3,Tablet,R3,3,Electrónica,100.51,81-124
87,391,Televisor-R1,Televisor,R1,3,Electrónica,43.92,26-57
88,392,Televisor-R2,Televisor,R2,3,Electrónica,71.15,57-85
89,393,Televisor-R3,Televisor,R3,3,Electrónica,106.22,85-124
