,id_camp,prod_gener,canal,costo_prom,fecha_ini,fecha_fin,id_producto,id_cat,media_prom
26,73,Cortinas,TV,6.47,2024-08-17,2024-09-26,180,1,5.786666666666666
27,61,Cuadro decorativo,TV,5.3,2024-11-05,2024-12-23,190,1,5.283333333333333
28,1,Cuadro decorativo,RRSS,5.27,2024-04-27,2024-06-04,190,1,5.283333333333333
29,31,Cuadro decorativo,Email,5.28,2024-08-15,2024-09-12,190,1,5.283333333333333
30,18,Cámara digital,RRSS,5.46,2024-07-16,2024-09-13,200,3,5.466666666666666
31,48,Cámara digital,Email,6.84,2024-10-31,2024-12-09,200,3,5.466666666666666
32,78,Cámara digital,TV,4.1,2024-08-02,2024-09-20,200,3,5.466666666666666
33,22,Elementos de cerámica,RRSS,5.44,2024-06-26,2024-07-15,210,1,5.623333333333334
34,52,Elementos de cerámica,Email,5.74,2024-09-09,2024-09-30,210,1,5.623333333333334
35,82,Elementos de cerámica,TV,5.69,2024-09-08,2024-10-12,210,1,5.623333333333334
36,53,Espejo decorativo,Email,4.9,2024-07-17,2024-08-01,220,1,4.963333333333334
37,23,Espejo decorativo,RRSS,4.75,2024-08-28,2024-10-17,220,1,4.963333333333334
38,83,Espejo decorativo,TV,5.24,2024-05-31,2024-07-08,220,1,4.963333333333334
39,11,Freidora eléctrica,RRSS,5.27,2024-12-29,2025-01-21,230,2,4.52
40,41,Freidora eléctrica,Email,3.92,2024-11-23,2025-01-01,230,2,4.52
41,71,Freidora eléctrica,TV,4.37,2024-06-05,2024-07-24,230,2,4.52
42,34,Heladera,Email,4.2,2024-05-06,2024-07-05,240,2,4.37
43,4,Heladera,RRSS,4.53,2024-05-31,2024-07-15,240,2,4.37
44,64,Heladera,TV,4.38,2024-07-10,2024-08-09,240,2,4.37
45,35,Horno eléctrico,Email,5.65,2024-07-31,2024-09-29,250,2,4.63
46,65,Horno eléctrico,TV,3.08,2024-10-23,2024-12-11,250,2,4.63
47,5,Horno eléctrico,RRSS,5.16,2024-08-22,2024-10-17,250,2,4.63
48,15,Jarrón decorativo,RRSS,4.65,2024-05-09,2024-06-13,260,1,4.423333333333333
49,45,Jarrón decorativo,Email,4.52,2024-06-05,2024-07-31,260,1,4.423333333333333
50,75,Jarrón decorativo,TV,4.1,2024-11-03,2024-12-25,260,1,4.423333333333333
51,30,Laptop,RRSS,4.68,2024-10-23,2024-11-24,270,3,5.0633333333333335
52,90,Laptop,TV,5.62,2024-11-16,2025-01-13,270,3,5.0633333333333335
53,60,Laptop,Email,4.89,2024-09-28,2024-10-27,270,3,5.0633333333333335
54,46,Lavadora,Email,3.63,2024-05-12,2024-05-29,280,2,3.9499999999999997
55,16,Lavadora,RRSS,3.56,2024-08-14,2024-09-20,280,2,3.9499999999999997
56,76,Lavadora,TV,4.66,2024-05-26,2024-07-02,280,2,3.9499999999999997
57,62,Lámpara de mesa,TV,4.51,2024-08-26,2024-10-07,290,1,5.31
58,32,Lámpara de mesa,Email,5.54,2024-03-28,2024-04-20,290,1,5.31
59,2,Lámpara de mesa,RRSS,5.88,2024-05-30,2024-06-29,290,1,5.31
60,56,Microondas,Email,4.94,2024-08-06,2024-08-25,300,2,4.73
61,26,Microondas,RRSS,5.0,2024-09-25,2024-10-14,300,2,4.73
62,86,Microondas,TV,4.25,2024-09-25,2024-11-15,300,2,4.73
63,84,Parlantes Bluetooth,TV,4.42,2024-04-17,2024-05-05,310,3,4.456666666666667
64,54,Parlantes Bluetooth,Email,2.95,2024-08-09,2024-09-22,310,3,4.456666666666667
65,24,Parlantes Bluetooth,RRSS,6.0,2024-09-22,2024-10-26,310,3,4.456666666666667
66,36,Plancha de vapor,Email,5.41,2024-04-02,2024-06-01,320,2,4.706666666666667
67,66,Plancha de vapor,TV,4.69,2024-10-04,2024-10-23,320,2,4.706666666666667
68,6,Plancha de vapor,RRSS,4.02,2024-09-24,2024-11-02,320,2,4.706666666666667
69,7,Proyector,RRSS,5.57,2024-07-30,2024-08-16,330,3,4.156666666666667
70,37,Proyector,Email,3.22,2024-07-06,2024-07-26,330,3,4.156666666666667
71,67,Proyector,TV,3.68,2024-05-22,2024-07-12,330,3,4.156666666666667
72,8,Rincón de plantas,RRSS,4.88,2024-08-03,2024-08-18,240,1,5.483333333333333
73,68,Rincón de plantas,TV,5.81,2024-12-17,2025-02-14,240,1,5.483333333333333
74,38,Rincón de plantas,Email,5.76,2024-06-14,2024-07-15,240,1,5.483333333333333
75,3,Secadora,RRSS,5.1,2024-07-24,2024-08-30,350,2,4.863333333333333
76,63,Secadora,TV,5.69,2024-11-03,2024-11-28,350,2,4.863333333333333
77,33,Secadora,Email,3.8,2024-12-20,2025-01-07,350,2,4.863333333333333
78,25,SmartWatch,RRSS,4.84,2024-11-23,2024-12-29,360,3,4.833333333333333
79,85,SmartWatch,TV,5.07,2024-04-01,2024-05-05,360,3,4.833333333333333
80,55,SmartWatch,Email,4.59,2024-10-13,2024-12-06,360,3,4.833333333333333
81,51,Smartphone,Email,4.65,2024-05-28,2024-06-15,370,3,5.266666666666667
82,21,Smartphone,RRSS,6.37,2024-03-29,2024-05-16,370,3,5.266666666666667
83,81,Smartphone,TV,4.78,2024-09-28,2024-10-24,370,3,5.266666666666667
84,42,Tablet,Email,4.42,2024-07-14,2024-09-03,380,3,4.24
85,72,Tablet,TV,4.9,2024-07-08,2024-09-03,380,3,4.24
86,12,Tablet,RRSS,3.4,2024-03-26,2024-05-13,380,3,4.24
87,59,Televisor,Email,4.19,2024-11-20,2025-01-19,390,3,4.376666666666667
88,29,Televisor,RRSS,3.96,2024-05-17,2024-06-28,390,3,4.376666666666667
89,89,Televisor,TV,4.98,2024-12-13,2025-02-08,390,3,4.376666666666667
