id_camp,prod_gener,canal,costo_prom,fecha_ini,fecha_fin
30,Laptop,RRSS,4.68,2024-10-23,2024-11-24
90,Laptop,TV,5.62,2024-11-16,2025-01-13
60,Laptop,Email,4.89,2024-09-28,2024-10-27
46,Lavadora,Email,3.63,2024-05-12,2024-05-29
16,Lavadora,RRSS,3.56,2024-08-14,2024-09-20
76,Lavadora,TV,4.66,2024-05-26,2024-07-02
62,Lámpara de mesa,TV,4.51,2024-08-26,2024-10-07
32,Lámpara de mesa,Email,5.54,2024-03-28,2024-04-20
2,Lámpara de mesa,RRSS,5.88,2024-05-30,2024-06-29
56,Microondas,Email,4.94,2024-08-06,2024-08-25
26,Microondas,RRSS,5.0,2024-09-25,2024-10-14
86,Microondas,TV,4.25,2024-09-25,2024-11-15
84,Parlantes Bluetooth,TV,4.42,2024-04-17,2024-05-05
54,Parlantes Bluetooth,Email,2.95,2024-08-09,2024-09-22
24,Parlantes Bluetooth,RRSS,6.0,2024-09-22,2024-10-26
36,Plancha de vapor,Email,5.41,2024-04-02,2024-06-01
66,Plancha de vapor,TV,4.69,2024-10-04,2024-10-23
6,Plancha de vapor,RRSS,4.02,2024-09-24,2024-11-02
7,Proyector,RRSS,5.57,2024-07-30,2024-08-16
37,Proyector,Email,3.22,2024-07-06,2024-07-26
67,Proyector,TV,3.68,2024-05-22,2024-07-12
8,Rincón de plantas,RRSS,4.88,2024-08-03,2024-08-18
68,Rincón de plantas,TV,5.81,2024-12-17,2025-02-14
38,Rincón de plantas,Email,5.76,2024-06-14,2024-07-15
3,Secadora,RRSS,5.1,2024-07-24,2024-08-30
63,Secadora,TV,5.69,2024-11-03,2024-11-28
33,Secadora,Email,3.8,2024-12-20,2025-01-07
25,SmartWatch,RRSS,4.84,2024-11-23,2024-12-29
85,SmartWatch,TV,5.07,2024-04-01,2024-05-05
55,SmartWatch,Email,4.59,2024-10-13,2024-12-06
51,Smartphone,Email,4.65,2024-05-28,2024-06-15
21,Smartphone,RRSS,6.37,2024-03-29,2024-05-16
81,Smartphone,TV,4.78,2024-09-28,2024-10-24
42,Tablet,Email,4.42,2024-07-14,2024-09-03
72,Tablet,TV,4.9,2024-07-08,2024-09-03
12,Tablet,RRSS,3.4,2024-03-26,2024-05-13
59,Televisor,Email,4.19,2024-11-20,2025-01-19
29,Televisor,RRSS,3.96,2024-05-17,2024-06-28
89,Televisor,TV,4.98,2024-12-13,2025-02-08
