,id_venta,id_producto,producto,precio_unit,cantidad,fecha_venta,categoria,rango,precio_rango
86,2325,133,Auriculares,117.43,11,2024-01-11,Electrónica,R3,0.0
87,2761,0,Parlantes Bluetooth,29.89,9,2024-01-11,Electrónica,,0.0
88,243,0,Espejo decorativo,55.61,1,2024-01-12,Decoración,,0.0
89,1441,0,Freidora eléctrica,52.57,11,2024-01-12,Electrodomésticos,,0.0
90,2428,0,SmartWatch,115.0,10,2024-01-12,Electrónica,,0.0
91,2583,0,Smartphone,67.93,10,2024-01-12,Electrónica,,0.0
92,2980,0,Consola de videojuegos,110.6,12,2024-01-12,Electrónica,,0.0
93,88,0,Rincón de plantas,109.33,9,2024-01-13,Decoración,,0.0
94,501,0,Lámpara de mesa,35.2,6,2024-01-13,Decoración,,0.0
95,507,0,Elementos de cerámica,111.1,1,2024-01-13,Decoración,,0.0
96,669,0,Lámpara de mesa,96.79,5,2024-01-13,Decoración,,0.0
97,987,0,Elementos de cerámica,102.62,3,2024-01-13,Decoración,,0.0
98,1548,151,Cafetera,35.73,12,2024-01-13,Electrodomésticos,R1,0.0
99,2822,0,Televisor,57.34,1,2024-01-13,Electrónica,,0.0
100,2924,0,Tablet,32.3,1,2024-01-13,Electrónica,,0.0
101,20,102,Adorno de pared,90.21,2,2024-01-14,Decoración,R2,66-91
102,53,0,Espejo decorativo,115.45,7,2024-01-14,Decoración,,0.0
103,608,0,Rincón de plantas,64.67,10,2024-01-14,Decoración,,0.0
104,993,0,Espejo decorativo,98.26,1,2024-01-14,Decoración,,0.0
105,1065,0,Lavadora,43.98,6,2024-01-14,Electrodomésticos,,0.0
106,1599,143,Batidora,96.78,12,2024-01-14,Electrodomésticos,R3,0.0
107,1638,153,Cafetera,123.96,9,2024-01-14,Electrodomésticos,R3,0.0
108,1685,0,Lavadora,84.8,3,2024-01-14,Electrodomésticos,,0.0
109,2685,131,Auriculares,27.36,10,2024-01-14,Electrónica,R1,0.0
110,169,0,Lámpara de mesa,76.32,9,2024-01-15,Decoración,,0.0
111,236,0,Cortinas,118.69,9,2024-01-15,Decoración,,0.0
112,260,103,Adorno de pared,101.48,9,2024-01-15,Decoración,R3,91-120
113,977,0,Elementos de cerámica,74.35,5,2024-01-15,Decoración,,0.0
114,1271,0,Freidora eléctrica,119.46,2,2024-01-15,Electrodomésticos,,0.0
115,2098,0,SmartWatch,75.65,5,2024-01-15,Electrónica,,0.0
116,2196,0,Laptop,31.69,1,2024-01-15,Electrónica,,0.0
117,2590,0,Consola de videojuegos,99.14,6,2024-01-15,Electrónica,,0.0
118,2788,0,SmartWatch,30.38,8,2024-01-15,Electrónica,,0.0
119,2803,0,Smartphone,95.73,5,2024-01-15,Electrónica,,0.0
120,2874,0,Tablet,117.47,2,2024-01-15,Electrónica,,0.0
121,113,0,Espejo decorativo,75.93,10,2024-01-16,Decoración,,0.0
122,503,0,Espejo decorativo,101.91,3,2024-01-16,Decoración,,0.0
123,832,191,Cuadro decorativo,30.59,1,2024-01-16,Decoración,R1,0.0
124,962,191,Cuadro decorativo,40.97,11,2024-01-16,Decoración,R1,0.0
125,1250,0,Plancha de vapor,98.55,6,2024-01-16,Electrodomésticos,,0.0
126,1431,0,Freidora eléctrica,83.95,8,2024-01-16,Electrodomésticos,,0.0
127,1920,0,Plancha de vapor,86.65,6,2024-01-16,Electrodomésticos,,0.0
128,2129,0,Proyector,107.98,6,2024-01-16,Electrónica,,0.0
129,2220,0,Consola de videojuegos,31.57,1,2024-01-16,Electrónica,,0.0
130,2477,0,Cámara digital,38.37,9,2024-01-16,Electrónica,,0.0
131,2789,0,Proyector,115.19,11,2024-01-16,Electrónica,,0.0
132,2935,132,Auriculares,80.29,2,2024-01-16,Electrónica,R2,0.0
133,131,0,Lámpara de mesa,58.32,10,2024-01-17,Decoración,,0.0
134,178,0,Rincón de plantas,81.5,1,2024-01-17,Decoración,,0.0
135,368,0,Rincón de plantas,87.4,9,2024-01-17,Decoración,,0.0
136,684,0,Jarrón decorativo,106.89,6,2024-01-17,Decoración,,0.0
137,1750,0,Plancha de vapor,94.53,2,2024-01-17,Electrodomésticos,,0.0
138,2284,0,Tablet,69.35,4,2024-01-17,Electrónica,,0.0
139,2402,0,Televisor,117.53,9,2024-01-17,Electrónica,,0.0
140,2698,0,SmartWatch,76.47,7,2024-01-17,Electrónica,,0.0
141,430,102,Adorno de pared,81.76,5,2024-01-18,Decoración,R2,66-91
142,588,0,Rincón de plantas,80.17,3,2024-01-18,Decoración,,0.0
143,1626,0,Secadora,102.73,6,2024-01-18,Electrodomésticos,,0.0
144,1900,0,Plancha de vapor,45.14,1,2024-01-18,Electrodomésticos,,0.0
145,2119,0,Proyector,84.1,11,2024-01-18,Electrónica,,0.0
146,2244,132,Auriculares,63.67,5,2024-01-18,Electrónica,R2,0.0
147,2297,0,Cámara digital,119.43,5,2024-01-18,Electrónica,,0.0
148,2416,0,Laptop,81.74,10,2024-01-18,Electrónica,,0.0
149,2431,0,Parlantes Bluetooth,69.4,1,2024-01-18,Electrónica,,0.0
150,2792,0,Televisor,84.96,5,2024-01-18,Electrónica,,0.0
151,30,102,Adorno de pared,76.92,6,2024-01-19,Decoración,R2,66-91
152,49,0,Lámpara de mesa,52.95,6,2024-01-19,Decoración,,0.0
153,104,0,Jarrón decorativo,103.13,8,2024-01-19,Decoración,,0.0
154,323,0,Espejo decorativo,123.21,7,2024-01-19,Decoración,,0.0
155,395,111,Alfombra,33.48,12,2024-01-19,Decoración,R1,28-54
156,851,0,Lámpara de mesa,85.23,6,2024-01-19,Decoración,,0.0
157,1125,0,Lavadora,97.73,12,2024-01-19,Electrodomésticos,,0.0
158,1332,153,Cafetera,98.21,11,2024-01-19,Electrodomésticos,R3,0.0
159,1806,0,Secadora,27.45,10,2024-01-19,Electrodomésticos,,0.0
160,2231,0,Parlantes Bluetooth,42.98,7,2024-01-19,Electrónica,,0.0
161,401,0,Lámpara de mesa,69.47,8,2024-01-20,Decoración,,0.0
162,788,0,Rincón de plantas,85.75,3,2024-01-20,Decoración,,0.0
163,1007,0,Horno eléctrico,98.42,8,2024-01-20,Electrodomésticos,,0.0
164,1489,143,Batidora,95.59,3,2024-01-20,Electrodomésticos,R3,0.0
165,2187,0,Cámara digital,108.61,2,2024-01-20,Electrónica,,0.0
166,2588,0,SmartWatch,83.01,11,2024-01-20,Electrónica,,0.0
167,2721,0,Parlantes Bluetooth,40.74,6,2024-01-20,Electrónica,,0.0
168,2897,0,Cámara digital,71.45,5,2024-01-20,Electrónica,,0.0
169,2987,0,Cámara digital,91.13,8,2024-01-20,Electrónica,,0.0
170,59,0,Lámpara de mesa,121.72,8,2024-01-21,Decoración,,0.0
171,754,0,Jarrón decorativo,91.53,12,2024-01-21,Decoración,,0.0
172,1117,0,Horno eléctrico,103.57,1,2024-01-21,Electrodomésticos,,0.0
173,1140,0,Plancha de vapor,27.61,7,2024-01-21,Electrodomésticos,,0.0
174,1145,0,Lavadora,67.2,11,2024-01-21,Electrodomésticos,,0.0
175,1286,0,Secadora,84.5,11,2024-01-21,Electrodomésticos,,0.0
176,1754,123,Aspiradora,104.86,8,2024-01-21,Electrodomésticos,R3,0.0
177,1882,151,Cafetera,51.16,12,2024-01-21,Electrodomésticos,R1,0.0
178,2560,0,Consola de videojuegos,87.23,5,2024-01-21,Electrónica,,0.0
179,442,191,Cuadro decorativo,29.17,1,2024-01-22,Decoración,R1,0.0
180,547,0,Elementos de cerámica,83.81,6,2024-01-22,Decoración,,0.0
181,984,0,Jarrón decorativo,26.97,5,2024-01-22,Decoración,,0.0
182,1106,0,Secadora,91.54,2,2024-01-22,Electrodomésticos,,0.0
183,1808,151,Cafetera,45.98,3,2024-01-22,Electrodomésticos,R1,0.0
184,1981,0,Freidora eléctrica,48.68,8,2024-01-22,Electrodomésticos,,0.0
185,80,101,Adorno de pared,51.56,5,2024-01-23,Decoración,R1,25-66
186,189,0,Lámpara de mesa,26.42,2,2024-01-23,Decoración,,0.0
187,839,0,Lámpara de mesa,96.37,5,2024-01-23,Decoración,,0.0
188,947,0,Elementos de cerámica,117.34,1,2024-01-23,Decoración,,0.0
189,1592,152,Cafetera,86.79,3,2024-01-23,Electrodomésticos,R2,0.0
190,2690,0,Consola de videojuegos,102.4,2,2024-01-23,Electrónica,,0.0
191,39,0,Lámpara de mesa,57.35,12,2024-01-24,Decoración,,0.0
192,164,0,Jarrón decorativo,66.27,1,2024-01-24,Decoración,,0.0
193,196,0,Cortinas,90.87,4,2024-01-24,Decoración,,0.0
194,768,0,Rincón de plantas,89.47,2,2024-01-24,Decoración,,0.0
195,1515,0,Lavadora,108.37,1,2024-01-24,Electrodomésticos,,0.0
196,1786,0,Secadora,40.63,3,2024-01-24,Electrodomésticos,,0.0
197,1977,0,Horno eléctrico,45.79,7,2024-01-24,Electrodomésticos,,0.0
198,2354,0,Tablet,27.98,8,2024-01-24,Electrónica,,0.0
199,2543,0,Smartphone,91.39,7,2024-01-24,Electrónica,,0.0
200,2623,0,Smartphone,27.32,7,2024-01-24,Electrónica,,0.0
201,2982,0,Televisor,26.7,9,2024-01-24,Electrónica,,0.0
202,85,112,Alfombra,71.14,2,2024-01-25,Decoración,R2,54-89
203,983,0,Espejo decorativo,123.22,10,2024-01-25,Decoración,,0.0
204,1378,152,Cafetera,96.94,4,2024-01-25,Electrodomésticos,R2,0.0
205,1485,0,Lavadora,66.16,4,2024-01-25,Electrodomésticos,,0.0
206,1503,0,Microondas,39.45,9,2024-01-25,Electrodomésticos,,0.0
207,2121,0,Parlantes Bluetooth,100.6,6,2024-01-25,Electrónica,,0.0
208,2340,0,Consola de videojuegos,109.68,5,2024-01-25,Electrónica,,0.0
209,2502,0,Televisor,77.83,8,2024-01-25,Electrónica,,0.0
210,2619,0,Proyector,70.1,10,2024-01-25,Electrónica,,0.0
211,2735,133,Auriculares,93.37,10,2024-01-25,Electrónica,R3,0.0
212,2948,0,SmartWatch,29.15,2,2024-01-25,Electrónica,,0.0
213,73,0,Espejo decorativo,52.58,9,2024-01-26,Decoración,,0.0
214,621,0,Lámpara de mesa,70.6,6,2024-01-26,Decoración,,0.0
215,787,0,Elementos de cerámica,106.39,6,2024-01-26,Decoración,,0.0
216,933,0,Espejo decorativo,110.02,1,2024-01-26,Decoración,,0.0
217,1768,153,Cafetera,120.32,9,2024-01-26,Electrodomésticos,R3,0.0
218,2252,0,Televisor,89.27,8,2024-01-26,Electrónica,,0.0
219,2305,131,Auriculares,31.03,9,2024-01-26,Electrónica,R1,0.0
220,218,0,Rincón de plantas,120.32,1,2024-01-27,Decoración,,0.0
221,310,103,Adorno de pared,103.79,2,2024-01-27,Decoración,R3,91-120
222,496,0,Cortinas,37.02,5,2024-01-27,Decoración,,0.0
223,1360,0,Plancha de vapor,95.1,2,2024-01-27,Electrodomésticos,,0.0
224,1744,121,Aspiradora,28.79,12,2024-01-27,Electrodomésticos,R1,0.0
225,1877,0,Horno eléctrico,53.46,4,2024-01-27,Electrodomésticos,,0.0
226,2165,131,Auriculares,47.24,9,2024-01-27,Electrónica,R1,0.0
227,2218,0,SmartWatch,54.84,1,2024-01-27,Electrónica,,0.0
228,2222,0,Televisor,33.19,9,2024-01-27,Electrónica,,0.0
229,2546,0,Laptop,30.31,2,2024-01-27,Electrónica,,0.0
230,617,0,Elementos de cerámica,28.22,4,2024-01-28,Decoración,,0.0
231,641,0,Lámpara de mesa,95.46,10,2024-01-28,Decoración,,0.0
232,912,193,Cuadro decorativo,111.56,9,2024-01-28,Decoración,R3,0.0
233,1999,143,Batidora,103.27,3,2024-01-28,Electrodomésticos,R3,0.0
234,2323,0,Smartphone,34.5,1,2024-01-28,Electrónica,,0.0
235,2636,0,Laptop,33.07,10,2024-01-28,Electrónica,,0.0
236,2693,0,Smartphone,115.81,1,2024-01-28,Electrónica,,0.0
237,373,0,Espejo decorativo,29.77,11,2024-01-29,Decoración,,0.0
238,1452,152,Cafetera,88.56,8,2024-01-29,Electrodomésticos,R2,0.0
239,1645,0,Lavadora,76.5,3,2024-01-29,Electrodomésticos,,0.0
240,2228,0,SmartWatch,100.06,7,2024-01-29,Electrónica,,0.0
241,2240,0,Consola de videojuegos,43.35,8,2024-01-29,Electrónica,,0.0
242,2245,131,Auriculares,53.45,8,2024-01-29,Electrónica,R1,0.0
243,2653,0,Smartphone,121.22,6,2024-01-29,Electrónica,,0.0
244,2870,0,Consola de videojuegos,72.39,1,2024-01-29,Electrónica,,0.0
245,2938,0,SmartWatch,122.68,1,2024-01-29,Electrónica,,0.0
246,2953,0,Smartphone,121.0,12,2024-01-29,Electrónica,,0.0
247,1046,0,Secadora,109.0,11,2024-01-30,Electrodomésticos,,0.0
248,1886,0,Secadora,47.91,1,2024-01-30,Electrodomésticos,,0.0
249,1965,0,Lavadora,43.52,7,2024-01-30,Electrodomésticos,,0.0
250,2005,131,Auriculares,56.56,4,2024-01-30,Electrónica,R1,0.0
251,2273,0,Smartphone,59.33,2,2024-01-30,Electrónica,,0.0
252,2522,0,Televisor,94.98,2,2024-01-30,Electrónica,,0.0
253,2784,0,Tablet,41.96,9,2024-01-30,Electrónica,,0.0
254,2945,133,Auriculares,115.2,1,2024-01-30,Electrónica,R3,0.0
255,50,102,Adorno de pared,83.1,5,2024-01-31,Decoración,R2,66-91
256,162,191,Cuadro decorativo,59.6,5,2024-01-31,Decoración,R1,0.0
257,259,0,Lámpara de mesa,78.89,11,2024-01-31,Decoración,,0.0
258,277,0,Elementos de cerámica,52.17,7,2024-01-31,Decoración,,0.0
259,852,192,Cuadro decorativo,78.93,4,2024-01-31,Decoración,R2,0.0
260,1185,0,Lavadora,92.36,1,2024-01-31,Electrodomésticos,,0.0
261,1210,0,Plancha de vapor,101.96,10,2024-01-31,Electrodomésticos,,0.0
262,1254,122,Aspiradora,74.11,11,2024-01-31,Electrodomésticos,R2,0.0
263,1481,0,Freidora eléctrica,121.77,12,2024-01-31,Electrodomésticos,,0.0
264,1898,152,Cafetera,63.54,9,2024-01-31,Electrodomésticos,R2,0.0
265,2185,131,Auriculares,35.74,11,2024-01-31,Electrónica,R1,0.0
266,2752,133,Auriculares,119.77,5,2024-01-31,Electrónica,R3,0.0
267,2916,0,Laptop,93.91,2,2024-01-31,Electrónica,,0.0
268,733,0,Espejo decorativo,44.37,2,2024-02-01,Decoración,,0.0
269,848,0,Rincón de plantas,81.92,10,2024-02-01,Decoración,,0.0
270,1102,153,Cafetera,108.33,2,2024-02-01,Electrodomésticos,R3,0.0
271,1764,123,Aspiradora,112.38,10,2024-02-01,Electrodomésticos,R3,0.0
272,1813,0,Microondas,89.16,5,2024-02-01,Electrodomésticos,,0.0
273,2069,0,Proyector,76.17,12,2024-02-01,Electrónica,,0.0
274,2474,133,Auriculares,123.41,8,2024-02-01,Electrónica,R3,0.0
275,2680,0,Consola de videojuegos,89.96,2,2024-02-01,Electrónica,,0.0
276,380,101,Adorno de pared,45.84,10,2024-02-02,Decoración,R1,25-66
277,557,0,Elementos de cerámica,108.86,6,2024-02-02,Decoración,,0.0
278,828,0,Rincón de plantas,27.95,7,2024-02-02,Decoración,,0.0
279,829,0,Lámpara de mesa,41.6,12,2024-02-02,Decoración,,0.0
280,1600,0,Plancha de vapor,47.6,10,2024-02-02,Electrodomésticos,,0.0
281,2079,0,Proyector,111.74,6,2024-02-02,Electrónica,,0.0
282,2115,131,Auriculares,26.0,9,2024-02-02,Electrónica,R1,0.0
283,2133,0,Smartphone,88.43,2,2024-02-02,Electrónica,,0.0
284,2329,0,Proyector,62.88,7,2024-02-02,Electrónica,,0.0
285,2476,0,Laptop,109.23,7,2024-02-02,Electrónica,,0.0
286,2548,0,SmartWatch,108.99,10,2024-02-02,Electrónica,,0.0
287,211,0,Lámpara de mesa,30.03,8,2024-02-03,Decoración,,0.0
288,541,0,Lámpara de mesa,76.33,10,2024-02-03,Decoración,,0.0
289,695,111,Alfombra,51.29,2,2024-02-03,Decoración,R1,28-54
290,1336,0,Secadora,42.81,7,2024-02-03,Electrodomésticos,,0.0
291,1499,142,Batidora,77.53,4,2024-02-03,Electrodomésticos,R2,0.0
292,2007,0,Cámara digital,117.11,9,2024-02-03,Electrónica,,0.0
293,2068,0,SmartWatch,49.23,4,2024-02-03,Electrónica,,0.0
294,2758,0,SmartWatch,81.32,6,2024-02-03,Electrónica,,0.0
295,2851,0,Parlantes Bluetooth,110.42,2,2024-02-03,Electrónica,,0.0
296,64,0,Jarrón decorativo,104.16,10,2024-02-04,Decoración,,0.0
297,763,0,Espejo decorativo,117.99,3,2024-02-04,Decoración,,0.0
298,1424,122,Aspiradora,69.31,10,2024-02-04,Electrodomésticos,R2,0.0
299,1455,0,Lavadora,38.61,10,2024-02-04,Electrodomésticos,,0.0
300,1456,0,Secadora,84.24,3,2024-02-04,Electrodomésticos,,0.0
301,2315,133,Auriculares,109.07,4,2024-02-04,Electrónica,R3,0.0
302,2832,0,Televisor,49.23,4,2024-02-04,Electrónica,,0.0
303,24,0,Jarrón decorativo,70.51,12,2024-02-05,Decoración,,0.0
304,40,103,Adorno de pared,100.32,10,2024-02-05,Decoración,R3,91-120
305,347,0,Elementos de cerámica,83.52,12,2024-02-05,Decoración,,0.0
306,911,0,Lámpara de mesa,33.9,4,2024-02-05,Decoración,,0.0
307,1451,0,Freidora eléctrica,48.52,4,2024-02-05,Electrodomésticos,,0.0
308,1855,0,Lavadora,123.28,8,2024-02-05,Electrodomésticos,,0.0
309,1961,0,Freidora eléctrica,81.99,1,2024-02-05,Electrodomésticos,,0.0
310,2378,0,SmartWatch,72.38,1,2024-02-05,Electrónica,,0.0
311,2426,0,Laptop,47.57,4,2024-02-05,Electrónica,,0.0
312,1064,122,Aspiradora,65.0,9,2024-02-06,Electrodomésticos,R2,0.0
313,1313,0,Microondas,82.58,9,2024-02-06,Electrodomésticos,,0.0
314,1848,153,Cafetera,123.27,4,2024-02-06,Electrodomésticos,R3,0.0
315,2267,0,Cámara digital,57.81,10,2024-02-06,Electrónica,,0.0
316,2438,0,SmartWatch,45.98,3,2024-02-06,Electrónica,,0.0
317,2566,0,Laptop,70.59,9,2024-02-06,Electrónica,,0.0
318,2617,0,Cámara digital,89.53,9,2024-02-06,Electrónica,,0.0
319,2627,0,Cámara digital,102.83,5,2024-02-06,Electrónica,,0.0
320,381,0,Lámpara de mesa,124.57,3,2024-02-07,Decoración,,0.0
321,393,0,Espejo decorativo,122.11,7,2024-02-07,Decoración,,0.0
322,662,191,Cuadro decorativo,42.09,12,2024-02-07,Decoración,R1,0.0
323,770,103,Adorno de pared,103.74,5,2024-02-07,Decoración,R3,91-120
324,895,113,Alfombra,102.72,2,2024-02-07,Decoración,R3,89-125
325,1340,0,Plancha de vapor,48.48,10,2024-02-07,Electrodomésticos,,0.0
326,1422,153,Cafetera,109.97,2,2024-02-07,Electrodomésticos,R3,0.0
327,1554,123,Aspiradora,124.82,3,2024-02-07,Electrodomésticos,R3,0.0
328,2584,131,Auriculares,42.67,6,2024-02-07,Electrónica,R1,0.0
329,163,0,Espejo decorativo,30.11,12,2024-02-08,Decoración,,0.0
330,367,0,Elementos de cerámica,47.0,2,2024-02-08,Decoración,,0.0
331,745,111,Alfombra,50.02,12,2024-02-08,Decoración,R1,28-54
332,850,103,Adorno de pared,112.03,9,2024-02-08,Decoración,R3,91-120
333,971,0,Lámpara de mesa,79.91,8,2024-02-08,Decoración,,0.0
334,1501,0,Freidora eléctrica,58.69,4,2024-02-08,Electrodomésticos,,0.0
335,1529,142,Batidora,79.14,10,2024-02-08,Electrodomésticos,R2,0.0
336,2618,0,SmartWatch,64.98,11,2024-02-08,Electrónica,,0.0
337,809,0,Lámpara de mesa,58.38,4,2024-02-09,Decoración,,0.0
338,1371,0,Freidora eléctrica,95.71,4,2024-02-09,Electrodomésticos,,0.0
339,1791,0,Freidora eléctrica,51.37,9,2024-02-09,Electrodomésticos,,0.0
340,2294,131,Auriculares,54.54,9,2024-02-09,Electrónica,R1,0.0
341,2668,0,SmartWatch,97.01,4,2024-02-09,Electrónica,,0.0
342,2718,0,SmartWatch,110.23,11,2024-02-09,Electrónica,,0.0
343,135,112,Alfombra,78.47,1,2024-02-10,Decoración,R2,54-89
344,212,191,Cuadro decorativo,52.83,12,2024-02-10,Decoración,R1,0.0
345,229,0,Lámpara de mesa,99.71,3,2024-02-10,Decoración,,0.0
346,737,0,Elementos de cerámica,116.82,3,2024-02-10,Decoración,,0.0
347,840,103,Adorno de pared,91.48,9,2024-02-10,Decoración,R3,91-120
348,949,0,Lámpara de mesa,87.04,1,2024-02-10,Decoración,,0.0
349,1294,121,Aspiradora,26.11,9,2024-02-10,Electrodomésticos,R1,0.0
350,1436,0,Secadora,45.43,11,2024-02-10,Electrodomésticos,,0.0
351,1696,0,Secadora,115.57,12,2024-02-10,Electrodomésticos,,0.0
352,2013,0,Smartphone,49.34,12,2024-02-10,Electrónica,,0.0
353,2203,0,Smartphone,59.33,5,2024-02-10,Electrónica,,0.0
