,id_venta,id_producto,producto,precio_unit,cantidad,fecha_venta,categoria,rango
178,2560,0,Consola de videojuegos,87.23,5,2024-01-21,Electrónica,
179,442,0,Cuadro decorativo,29.17,1,2024-01-22,Decoración,
180,547,0,Elementos de cerámica,83.81,6,2024-01-22,Decoración,
181,984,0,Jarrón decorativo,26.97,5,2024-01-22,Decoración,
182,1106,0,Secadora,91.54,2,2024-01-22,Electrodomésticos,
183,1808,0,Cafetera,45.98,3,2024-01-22,Electrodomésticos,
184,1981,0,Freidora eléctrica,48.68,8,2024-01-22,Electrodomésticos,
185,80,101,Adorno de pared-R1,51.56,5,2024-01-23,Decoración,R1
186,189,0,Lámpara de mesa,26.42,2,2024-01-23,Decoración,
187,839,0,Lámpara de mesa,96.37,5,2024-01-23,Decoración,
188,947,0,Elementos de cerámica,117.34,1,2024-01-23,Decoración,
189,1592,0,Cafetera,86.79,3,2024-01-23,Electrodomésticos,
190,2690,0,Consola de videojuegos,102.4,2,2024-01-23,Electrónica,
191,39,0,Lámpara de mesa,57.35,12,2024-01-24,Decoración,
192,164,0,Jarrón decorativo,66.27,1,2024-01-24,Decoración,
193,196,0,Cortinas,90.87,4,2024-01-24,Decoración,
194,768,0,Rincón de plantas,89.47,2,2024-01-24,Decoración,
195,1515,0,Lavadora,108.37,1,2024-01-24,Electrodomésticos,
196,1786,0,Secadora,40.63,3,2024-01-24,Electrodomésticos,
197,1977,0,Horno eléctrico,45.79,7,2024-01-24,Electrodomésticos,
198,2354,0,Tablet,27.98,8,2024-01-24,Electrónica,
199,2543,0,Smartphone,91.39,7,2024-01-24,Electrónica,
200,2623,0,Smartphone,27.32,7,2024-01-24,Electrónica,
201,2982,0,Televisor,26.7,9,2024-01-24,Electrónica,
202,85,0,Alfombra,71.14,2,2024-01-25,Decoración,
203,983,0,Espejo decorativo,123.22,10,2024-01-25,Decoración,
204,1378,0,Cafetera,96.94,4,2024-01-25,Electrodomésticos,
205,1485,0,Lavadora,66.16,4,2024-01-25,Electrodomésticos,
206,1503,0,Microondas,39.45,9,2024-01-25,Electrodomésticos,
207,2121,0,Parlantes Bluetooth,100.6,6,2024-01-25,Electrónica,
208,2340,0,Consola de videojuegos,109.68,5,2024-01-25,Electrónica,
209,2502,0,Televisor,77.83,8,2024-01-25,Electrónica,
210,2619,0,Proyector,70.1,10,2024-01-25,Electrónica,
211,2735,0,Auriculares,93.37,10,2024-01-25,Electrónica,
212,2948,0,SmartWatch,29.15,2,2024-01-25,Electrónica,
213,73,0,Espejo decorativo,52.58,9,2024-01-26,Decoración,
214,621,0,Lámpara de mesa,70.6,6,2024-01-26,Decoración,
215,787,0,Elementos de cerámica,106.39,6,2024-01-26,Decoración,
216,933,0,Espejo decorativo,110.02,1,2024-01-26,Decoración,
217,1768,0,Cafetera,120.32,9,2024-01-26,Electrodomésticos,
218,2252,0,Televisor,89.27,8,2024-01-26,Electrónica,
219,2305,0,Auriculares,31.03,9,2024-01-26,Electrónica,
220,218,0,Rincón de plantas,120.32,1,2024-01-27,Decoración,
221,310,103,Adorno de pared-R3,103.79,2,2024-01-27,Decoración,R3
222,496,0,Cortinas,37.02,5,2024-01-27,Decoración,
223,1360,0,Plancha de vapor,95.1,2,2024-01-27,Electrodomésticos,
224,1744,0,Aspiradora,28.79,12,2024-01-27,Electrodomésticos,
225,1877,0,Horno eléctrico,53.46,4,2024-01-27,Electrodomésticos,
226,2165,0,Auriculares,47.24,9,2024-01-27,Electrónica,
227,2218,0,SmartWatch,54.84,1,2024-01-27,Electrónica,
228,2222,0,Televisor,33.19,9,2024-01-27,Electrónica,
229,2546,0,Laptop,30.31,2,2024-01-27,Electrónica,
230,617,0,Elementos de cerámica,28.22,4,2024-01-28,Decoración,
231,641,0,Lámpara de mesa,95.46,10,2024-01-28,Decoración,
232,912,0,Cuadro decorativo,111.56,9,2024-01-28,Decoración,
233,1999,0,Batidora,103.27,3,2024-01-28,Electrodomésticos,
234,2323,0,Smartphone,34.5,1,2024-01-28,Electrónica,
235,2636,0,Laptop,33.07,10,2024-01-28,Electrónica,
236,2693,0,Smartphone,115.81,1,2024-01-28,Electrónica,
237,373,0,Espejo decorativo,29.77,11,2024-01-29,Decoración,
238,1452,0,Cafetera,88.56,8,2024-01-29,Electrodomésticos,
239,1645,0,Lavadora,76.5,3,2024-01-29,Electrodomésticos,
240,2228,0,SmartWatch,100.06,7,2024-01-29,Electrónica,
241,2240,0,Consola de videojuegos,43.35,8,2024-01-29,Electrónica,
242,2245,0,Auriculares,53.45,8,2024-01-29,Electrónica,
243,2653,0,Smartphone,121.22,6,2024-01-29,Electrónica,
244,2870,0,Consola de videojuegos,72.39,1,2024-01-29,Electrónica,
245,2938,0,SmartWatch,122.68,1,2024-01-29,Electrónica,
246,2953,0,Smartphone,121.0,12,2024-01-29,Electrónica,
247,1046,0,Secadora,109.0,11,2024-01-30,Electrodomésticos,
248,1886,0,Secadora,47.91,1,2024-01-30,Electrodomésticos,
249,1965,0,Lavadora,43.52,7,2024-01-30,Electrodomésticos,
250,2005,0,Auriculares,56.56,4,2024-01-30,Electrónica,
251,2273,0,Smartphone,59.33,2,2024-01-30,Electrónica,
252,2522,0,Televisor,94.98,2,2024-01-30,Electrónica,
253,2784,0,Tablet,41.96,9,2024-01-30,Electrónica,
254,2945,0,Auriculares,115.2,1,2024-01-30,Electrónica,
255,50,102,Adorno de pared-R2,83.1,5,2024-01-31,Decoración,R2
256,162,0,Cuadro decorativo,59.6,5,2024-01-31,Decoración,
257,259,0,Lámpara de mesa,78.89,11,2024-01-31,Decoración,
258,277,0,Elementos de cerámica,52.17,7,2024-01-31,Decoración,
259,852,0,Cuadro decorativo,78.93,4,2024-01-31,Decoración,
260,1185,0,Lavadora,92.36,1,2024-01-31,Electrodomésticos,
261,1210,0,Plancha de vapor,101.96,10,2024-01-31,Electrodomésticos,
262,1254,0,Aspiradora,74.11,11,2024-01-31,Electrodomésticos,
263,1481,0,Freidora eléctrica,121.77,12,2024-01-31,Electrodomésticos,
264,1898,0,Cafetera,63.54,9,2024-01-31,Electrodomésticos,
265,2185,0,Auriculares,35.74,11,2024-01-31,Electrónica,
266,2752,0,Auriculares,119.77,5,2024-01-31,Electrónica,
267,2916,0,Laptop,93.91,2,2024-01-31,Electrónica,
268,733,0,Espejo decorativo,44.37,2,2024-02-01,Decoración,
269,848,0,Rincón de plantas,81.92,10,2024-02-01,Decoración,
270,1102,0,Cafetera,108.33,2,2024-02-01,Electrodomésticos,
271,1764,0,Aspiradora,112.38,10,2024-02-01,Electrodomésticos,
272,1813,0,Microondas,89.16,5,2024-02-01,Electrodomésticos,
273,2069,0,Proyector,76.17,12,2024-02-01,Electrónica,
274,2474,0,Auriculares,123.41,8,2024-02-01,Electrónica,
275,2680,0,Consola de videojuegos,89.96,2,2024-02-01,Electrónica,
276,380,101,Adorno de pared-R1,45.84,10,2024-02-02,Decoración,R1
277,557,0,Elementos de cerámica,108.86,6,2024-02-02,Decoración,
278,828,0,Rincón de plantas,27.95,7,2024-02-02,Decoración,
279,829,0,Lámpara de mesa,41.6,12,2024-02-02,Decoración,
280,1600,0,Plancha de vapor,47.6,10,2024-02-02,Electrodomésticos,
281,2079,0,Proyector,111.74,6,2024-02-02,Electrónica,
282,2115,0,Auriculares,26.0,9,2024-02-02,Electrónica,
283,2133,0,Smartphone,88.43,2,2024-02-02,Electrónica,
284,2329,0,Proyector,62.88,7,2024-02-02,Electrónica,
285,2476,0,Laptop,109.23,7,2024-02-02,Electrónica,
286,2548,0,SmartWatch,108.99,10,2024-02-02,Electrónica,
287,211,0,Lámpara de mesa,30.03,8,2024-02-03,Decoración,
288,541,0,Lámpara de mesa,76.33,10,2024-02-03,Decoración,
289,695,0,Alfombra,51.29,2,2024-02-03,Decoración,
290,1336,0,Secadora,42.81,7,2024-02-03,Electrodomésticos,
291,1499,0,Batidora,77.53,4,2024-02-03,Electrodomésticos,
292,2007,0,Cámara digital,117.11,9,2024-02-03,Electrónica,
293,2068,0,SmartWatch,49.23,4,2024-02-03,Electrónica,
294,2758,0,SmartWatch,81.32,6,2024-02-03,Electrónica,
295,2851,0,Parlantes Bluetooth,110.42,2,2024-02-03,Electrónica,
296,64,0,Jarrón decorativo,104.16,10,2024-02-04,Decoración,
297,763,0,Espejo decorativo,117.99,3,2024-02-04,Decoración,
298,1424,0,Aspiradora,69.31,10,2024-02-04,Electrodomésticos,
299,1455,0,Lavadora,38.61,10,2024-02-04,Electrodomésticos,
300,1456,0,Secadora,84.24,3,2024-02-04,Electrodomésticos,
301,2315,0,Auriculares,109.07,4,2024-02-04,Electrónica,
302,2832,0,Televisor,49.23,4,2024-02-04,Electrónica,
303,24,0,Jarrón decorativo,70.51,12,2024-02-05,Decoración,
304,40,103,Adorno de pared-R3,100.32,10,2024-02-05,Decoración,R3
305,347,0,Elementos de cerámica,83.52,12,2024-02-05,Decoración,
306,911,0,Lámpara de mesa,33.9,4,2024-02-05,Decoración,
307,1451,0,Freidora eléctrica,48.52,4,2024-02-05,Electrodomésticos,
308,1855,0,Lavadora,123.28,8,2024-02-05,Electrodomésticos,
309,1961,0,Freidora eléctrica,81.99,1,2024-02-05,Electrodomésticos,
310,2378,0,SmartWatch,72.38,1,2024-02-05,Electrónica,
311,2426,0,Laptop,47.57,4,2024-02-05,Electrónica,
312,1064,0,Aspiradora,65.0,9,2024-02-06,Electrodomésticos,
313,1313,0,Microondas,82.58,9,2024-02-06,Electrodomésticos,
314,1848,0,Cafetera,123.27,4,2024-02-06,Electrodomésticos,
315,2267,0,Cámara digital,57.81,10,2024-02-06,Electrónica,
316,2438,0,SmartWatch,45.98,3,2024-02-06,Electrónica,
317,2566,0,Laptop,70.59,9,2024-02-06,Electrónica,
318,2617,0,Cámara digital,89.53,9,2024-02-06,Electrónica,
319,2627,0,Cámara digital,102.83,5,2024-02-06,Electrónica,
320,381,0,Lámpara de mesa,124.57,3,2024-02-07,Decoración,
321,393,0,Espejo decorativo,122.11,7,2024-02-07,Decoración,
322,662,0,Cuadro decorativo,42.09,12,2024-02-07,Decoración,
323,770,103,Adorno de pared-R3,103.74,5,2024-02-07,Decoración,R3
324,895,0,Alfombra,102.72,2,2024-02-07,Decoración,
325,1340,0,Plancha de vapor,48.48,10,2024-02-07,Electrodomésticos,
326,1422,0,Cafetera,109.97,2,2024-02-07,Electrodomésticos,
327,1554,0,Aspiradora,124.82,3,2024-02-07,Electrodomésticos,
328,2584,0,Auriculares,42.67,6,2024-02-07,Electrónica,
329,163,0,Espejo decorativo,30.11,12,2024-02-08,Decoración,
330,367,0,Elementos de cerámica,47.0,2,2024-02-08,Decoración,
331,745,0,Alfombra,50.02,12,2024-02-08,Decoración,
332,850,103,Adorno de pared-R3,112.03,9,2024-02-08,Decoración,R3
333,971,0,Lámpara de mesa,79.91,8,2024-02-08,Decoración,
334,1501,0,Freidora eléctrica,58.69,4,2024-02-08,Electrodomésticos,
335,1529,0,Batidora,79.14,10,2024-02-08,Electrodomésticos,
336,2618,0,SmartWatch,64.98,11,2024-02-08,Electrónica,
337,809,0,Lámpara de mesa,58.38,4,2024-02-09,Decoración,
338,1371,0,Freidora eléctrica,95.71,4,2024-02-09,Electrodomésticos,
339,1791,0,Freidora eléctrica,51.37,9,2024-02-09,Electrodomésticos,
340,2294,0,Auriculares,54.54,9,2024-02-09,Electrónica,
341,2668,0,SmartWatch,97.01,4,2024-02-09,Electrónica,
342,2718,0,SmartWatch,110.23,11,2024-02-09,Electrónica,
343,135,0,Alfombra,78.47,1,2024-02-10,Decoración,
344,212,0,Cuadro decorativo,52.83,12,2024-02-10,Decoración,
345,229,0,Lámpara de mesa,99.71,3,2024-02-10,Decoración,
346,737,0,Elementos de cerámica,116.82,3,2024-02-10,Decoración,
347,840,103,Adorno de pared-R3,91.48,9,2024-02-10,Decoración,R3
348,949,0,Lámpara de mesa,87.04,1,2024-02-10,Decoración,
349,1294,0,Aspiradora,26.11,9,2024-02-10,Electrodomésticos,
350,1436,0,Secadora,45.43,11,2024-02-10,Electrodomésticos,
351,1696,0,Secadora,115.57,12,2024-02-10,Electrodomésticos,
352,2013,0,Smartphone,49.34,12,2024-02-10,Electrónica,
353,2203,0,Smartphone,59.33,5,2024-02-10,Electrónica,
354,2873,0,Smartphone,74.8,5,2024-02-10,Electrónica,
355,2973,0,Smartphone,97.62,1,2024-02-10,Electrónica,
356,43,0,Espejo decorativo,81.16,2,2024-02-11,Decoración,
357,205,0,Alfombra,108.67,4,2024-02-11,Decoración,
358,417,0,Elementos de cerámica,35.97,2,2024-02-11,Decoración,
359,462,0,Cuadro decorativo,109.69,8,2024-02-11,Decoración,
360,1730,0,Plancha de vapor,101.57,10,2024-02-11,Electrodomésticos,
361,1901,0,Freidora eléctrica,83.07,6,2024-02-11,Electrodomésticos,
362,2440,0,Consola de videojuegos,110.79,8,2024-02-11,Electrónica,
363,2952,0,Televisor,112.58,5,2024-02-11,Electrónica,
364,362,0,Cuadro decorativo,71.97,12,2024-02-12,Decoración,
365,952,0,Cuadro decorativo,72.08,11,2024-02-12,Decoración,
366,970,101,Adorno de pared-R1,37.5,3,2024-02-12,Decoración,R1
367,1963,0,Microondas,96.35,3,2024-02-12,Electrodomésticos,
368,2122,0,Televisor,97.3,9,2024-02-12,Electrónica,
369,2334,0,Auriculares,57.41,4,2024-02-12,Electrónica,
370,2714,0,Auriculares,74.7,10,2024-02-12,Electrónica,
371,116,0,Cortinas,40.19,3,2024-02-13,Decoración,
372,2379,0,Proyector,108.52,12,2024-02-13,Electrónica,
373,2669,0,Proyector,26.52,3,2024-02-13,Electrónica,
374,2739,0,Proyector,63.33,10,2024-02-13,Electrónica,
375,2766,0,Laptop,31.94,11,2024-02-13,Electrónica,
376,2829,0,Proyector,33.84,5,2024-02-13,Electrónica,
377,151,0,Lámpara de mesa,113.01,7,2024-02-14,Decoración,
378,366,0,Cortinas,92.84,1,2024-02-14,Decoración,
379,406,0,Cortinas,64.96,1,2024-02-14,Decoración,
380,884,0,Jarrón decorativo,82.89,10,2024-02-14,Decoración,
381,1488,0,Cafetera,79.98,2,2024-02-14,Electrodomésticos,
382,1946,0,Secadora,69.17,6,2024-02-14,Electrodomésticos,
383,2154,0,Auriculares,45.97,12,2024-02-14,Electrónica,
384,2571,0,Parlantes Bluetooth,123.36,5,2024-02-14,Electrónica,
385,2871,0,Parlantes Bluetooth,101.08,7,2024-02-14,Electrónica,
386,282,0,Cuadro decorativo,87.42,7,2024-02-15,Decoración,
387,457,0,Elementos de cerámica,38.25,1,2024-02-15,Decoración,
388,946,0,Cortinas,109.32,7,2024-02-15,Decoración,
389,1353,0,Microondas,98.65,2,2024-02-15,Electrodomésticos,
390,2782,0,Televisor,62.8,8,2024-02-15,Electrónica,
391,2979,0,Proyector,65.41,7,2024-02-15,Electrónica,
392,1070,0,Plancha de vapor,48.23,5,2024-02-16,Electrodomésticos,
393,1265,0,Lavadora,120.53,5,2024-02-16,Electrodomésticos,
394,1798,0,Cafetera,97.97,2,2024-02-16,Electrodomésticos,
395,2304,0,Auriculares,44.56,8,2024-02-16,Electrónica,
396,2595,0,Auriculares,81.96,2,2024-02-16,Electrónica,
397,2825,0,Auriculares,39.92,4,2024-02-16,Electrónica,
398,727,0,Elementos de cerámica,108.86,6,2024-02-17,Decoración,
