,id_producto,producto,id_categoria,categoria,rango,media_rango,precio_rango,prod_gener
77,353,Secadora-R3,2,Electrodomésticos,R3,0.0,,Secadora
78,361,SmartWatch-R1,3,Electrónica,R1,0.0,,SmartWatch
79,362,SmartWatch-R2,3,Electrónica,R2,0.0,,SmartWatch
80,363,SmartWatch-R3,3,Electrónica,R3,0.0,,SmartWatch
81,371,Smartphone-R1,3,Electrónica,R1,0.0,,Smartphone
82,372,Smartphone-R2,3,Electrónica,R2,0.0,,Smartphone
83,373,Smartphone-R3,3,Electrónica,R3,0.0,,Smartphone
84,381,Tablet-R1,3,Electrónica,R1,0.0,,Tablet
85,382,Tablet-R2,3,Electrónica,R2,0.0,,Tablet
86,383,Tablet-R3,3,Electrónica,R3,0.0,,Tablet
87,391,Televisor-R1,3,Electrónica,R1,0.0,,Televisor
88,392,Televisor-R2,3,Electrónica,R2,0.0,,Televisor
89,393,Televisor-R3,3,Electrónica,R3,0.0,,Televisor
