,id_camp,prod_gener,canal,costo_prom,ord_prom,fecha_ini,fecha_fin,id_producto,id_cat,media_prom
72,8,Rincón de plantas,RRSS,4.88,1,2024-08-03,2024-08-18,240,1,5.483333333333333
73,38,Rincón de plantas,Email,5.76,2,2024-06-14,2024-07-15,240,1,5.483333333333333
74,68,Rincón de plantas,TV,5.81,3,2024-12-17,2025-02-14,240,1,5.483333333333333
75,33,Secadora,Email,3.8,1,2024-12-20,2025-01-07,350,2,4.863333333333333
76,3,Secadora,RRSS,5.1,2,2024-07-24,2024-08-30,350,2,4.863333333333333
77,63,Secadora,TV,5.69,3,2024-11-03,2024-11-28,350,2,4.863333333333333
78,55,SmartWatch,Email,4.59,1,2024-10-13,2024-12-06,360,3,4.833333333333333
79,25,SmartWatch,RRSS,4.84,2,2024-11-23,2024-12-29,360,3,4.833333333333333
80,85,SmartWatch,TV,5.07,3,2024-04-01,2024-05-05,360,3,4.833333333333333
81,51,Smartphone,Email,4.65,1,2024-05-28,2024-06-15,370,3,5.266666666666667
82,81,Smartphone,TV,4.78,2,2024-09-28,2024-10-24,370,3,5.266666666666667
83,21,Smartphone,RRSS,6.37,3,2024-03-29,2024-05-16,370,3,5.266666666666667
84,12,Tablet,RRSS,3.4,1,2024-03-26,2024-05-13,380,3,4.24
85,42,Tablet,Email,4.42,2,2024-07-14,2024-09-03,380,3,4.24
86,72,Tablet,TV,4.9,3,2024-07-08,2024-09-03,380,3,4.24
87,29,Televisor,RRSS,3.96,1,2024-05-17,2024-06-28,390,3,4.376666666666667
88,59,Televisor,Email,4.19,2,2024-11-20,2025-01-19,390,3,4.376666666666667
89,89,Televisor,TV,4.98,3,2024-12-13,2025-02-08,390,3,4.376666666666667
