,id_venta,id_producto,prod_gener,rango,precio_unit,cantidad,fecha_venta,id_cat,categoria,precio_rango
40,699,161,Candelabro,R1,34.23,12,2024-01-07,1,Decoración,29-52
41,1150,321,Plancha de vapor,R1,33.63,10,2024-01-07,2,Electrodomésticos,26-55
42,1400,321,Plancha de vapor,R1,26.91,5,2024-01-07,2,Electrodomésticos,26-55
43,1496,353,Secadora,R3,95.33,11,2024-01-07,2,Electrodomésticos,93-125
44,1524,122,Aspiradora,R2,65.55,8,2024-01-07,2,Electrodomésticos,64-93
45,1550,321,Plancha de vapor,R1,51.51,7,2024-01-07,2,Electrodomésticos,26-55
46,2174,133,Auriculares,R3,116.04,11,2024-01-07,3,Electrónica,93-125
47,2773,373,Smartphone,R3,107.51,5,2024-01-07,3,Electrónica,101-126
48,2920,171,Consola de videojuegos,R1,29.49,2,2024-01-07,3,Electrónica,29-55
49,84,261,Jarrón decorativo,R1,37.05,4,2024-01-08,1,Decoración,26-57
50,349,162,Candelabro,R2,57.65,6,2024-01-08,1,Decoración,52-87
51,687,211,Elementos de cerámica,R1,27.68,8,2024-01-08,1,Decoración,26-52
52,696,181,Cortinas,R1,32.57,8,2024-01-08,1,Decoración,25-57
53,1734,121,Aspiradora,R1,50.86,4,2024-01-08,2,Electrodomésticos,26-64
54,2173,371,Smartphone,R1,54.19,12,2024-01-08,3,Electrónica,26-64
55,2283,372,Smartphone,R2,70.07,11,2024-01-08,3,Electrónica,64-101
56,2501,312,Parlantes Bluetooth,R2,87.78,1,2024-01-08,3,Electrónica,61-89
57,2918,362,SmartWatch,R2,82.18,10,2024-01-08,3,Electrónica,55-91
58,386,182,Cortinas,R2,85.71,8,2024-01-09,1,Decoración,57-91
59,599,161,Candelabro,R1,47.22,5,2024-01-09,1,Decoración,29-52
60,633,222,Espejo decorativo,R2,60.39,2,2024-01-09,1,Decoración,57-93
61,714,261,Jarrón decorativo,R1,42.46,8,2024-01-09,1,Decoración,26-57
62,871,292,Lámpara de mesa,R2,79.64,11,2024-01-09,1,Decoración,57-83
63,1132,151,Cafetera,R1,29.88,10,2024-01-09,2,Electrodomésticos,25-61
64,1443,302,Microondas,R2,67.39,8,2024-01-09,2,Electrodomésticos,67-94
65,1584,123,Aspiradora,R3,99.58,7,2024-01-09,2,Electrodomésticos,93-125
66,1617,252,Horno eléctrico,R2,68.53,8,2024-01-09,2,Electrodomésticos,58-93
67,1649,141,Batidora,R1,39.26,11,2024-01-09,2,Electrodomésticos,27-65
68,2917,203,Cámara digital,R3,120.87,7,2024-01-09,3,Electrónica,87-123
69,315,113,Alfombra,R3,122.07,9,2024-01-10,1,Decoración,89-125
70,553,223,Espejo decorativo,R3,96.29,9,2024-01-10,1,Decoración,93-125
71,817,213,Elementos de cerámica,R3,106.31,1,2024-01-10,1,Decoración,90-125
72,830,102,Adorno de pared,R2,67.23,10,2024-01-10,1,Decoración,66-91
73,854,261,Jarrón decorativo,R1,42.83,5,2024-01-10,1,Decoración,26-57
74,1090,322,Plancha de vapor,R2,66.15,8,2024-01-10,2,Electrodomésticos,55-88
75,1464,121,Aspiradora,R1,36.38,5,2024-01-10,2,Electrodomésticos,26-64
76,1933,301,Microondas,R1,46.05,6,2024-01-10,2,Electrodomésticos,26-67
77,308,341,Rincón de plantas,R1,31.7,11,2024-01-11,1,Decoración,25-63
78,718,341,Rincón de plantas,R1,29.88,8,2024-01-11,1,Decoración,25-63
79,804,262,Jarrón decorativo,R2,87.84,7,2024-01-11,1,Decoración,57-92
80,963,221,Espejo decorativo,R1,32.34,5,2024-01-11,1,Decoración,25-57
81,1167,253,Horno eléctrico,R3,119.7,6,2024-01-11,2,Electrodomésticos,93-124
82,1234,121,Aspiradora,R1,36.89,7,2024-01-11,2,Electrodomésticos,26-64
83,1319,142,Batidora,R2,79.98,12,2024-01-11,2,Electrodomésticos,65-91
84,1885,283,Lavadora,R3,120.75,10,2024-01-11,2,Electrodomésticos,92-124
85,2268,361,SmartWatch,R1,48.45,2,2024-01-11,3,Electrónica,25-55
86,2325,133,Auriculares,R3,117.43,11,2024-01-11,3,Electrónica,93-125
87,2761,311,Parlantes Bluetooth,R1,29.89,9,2024-01-11,3,Electrónica,25-61
88,243,221,Espejo decorativo,R1,55.61,1,2024-01-12,1,Decoración,25-57
89,1441,231,Freidora eléctrica,R1,52.57,11,2024-01-12,2,Electrodomésticos,25-61
90,2428,363,SmartWatch,R3,115.0,10,2024-01-12,3,Electrónica,91-126
91,2583,372,Smartphone,R2,67.93,10,2024-01-12,3,Electrónica,64-101
92,2980,173,Consola de videojuegos,R3,110.6,12,2024-01-12,3,Electrónica,90-126
93,88,343,Rincón de plantas,R3,109.33,9,2024-01-13,1,Decoración,86-124
94,501,291,Lámpara de mesa,R1,35.2,6,2024-01-13,1,Decoración,25-57
95,507,213,Elementos de cerámica,R3,111.1,1,2024-01-13,1,Decoración,90-125
96,669,293,Lámpara de mesa,R3,96.79,5,2024-01-13,1,Decoración,83-126
97,987,213,Elementos de cerámica,R3,102.62,3,2024-01-13,1,Decoración,90-125
98,1548,151,Cafetera,R1,35.73,12,2024-01-13,2,Electrodomésticos,25-61
99,2822,392,Televisor,R2,57.34,1,2024-01-13,3,Electrónica,57-85
100,2924,381,Tablet,R1,32.3,1,2024-01-13,3,Electrónica,26-62
101,20,102,Adorno de pared,R2,90.21,2,2024-01-14,1,Decoración,66-91
102,53,223,Espejo decorativo,R3,115.45,7,2024-01-14,1,Decoración,93-125
103,608,342,Rincón de plantas,R2,64.67,10,2024-01-14,1,Decoración,63-86
104,993,223,Espejo decorativo,R3,98.26,1,2024-01-14,1,Decoración,93-125
105,1065,281,Lavadora,R1,43.98,6,2024-01-14,2,Electrodomésticos,26-55
106,1599,143,Batidora,R3,96.78,12,2024-01-14,2,Electrodomésticos,91-126
107,1638,153,Cafetera,R3,123.96,9,2024-01-14,2,Electrodomésticos,98-126
108,1685,282,Lavadora,R2,84.8,3,2024-01-14,2,Electrodomésticos,55-92
109,2685,131,Auriculares,R1,27.36,10,2024-01-14,3,Electrónica,26-58
110,169,292,Lámpara de mesa,R2,76.32,9,2024-01-15,1,Decoración,57-83
111,236,183,Cortinas,R3,118.69,9,2024-01-15,1,Decoración,91-126
112,260,103,Adorno de pared,R3,101.48,9,2024-01-15,1,Decoración,91-120
113,977,212,Elementos de cerámica,R2,74.35,5,2024-01-15,1,Decoración,52-90
114,1271,233,Freidora eléctrica,R3,119.46,2,2024-01-15,2,Electrodomésticos,90-125
115,2098,362,SmartWatch,R2,75.65,5,2024-01-15,3,Electrónica,55-91
116,2196,271,Laptop,R1,31.69,1,2024-01-15,3,Electrónica,27-58
117,2590,173,Consola de videojuegos,R3,99.14,6,2024-01-15,3,Electrónica,90-126
118,2788,361,SmartWatch,R1,30.38,8,2024-01-15,3,Electrónica,25-55
119,2803,372,Smartphone,R2,95.73,5,2024-01-15,3,Electrónica,64-101
120,2874,383,Tablet,R3,117.47,2,2024-01-15,3,Electrónica,81-124
121,113,222,Espejo decorativo,R2,75.93,10,2024-01-16,1,Decoración,57-93
122,503,223,Espejo decorativo,R3,101.91,3,2024-01-16,1,Decoración,93-125
123,832,191,Cuadro decorativo,R1,30.59,1,2024-01-16,1,Decoración,25-61
124,962,191,Cuadro decorativo,R1,40.97,11,2024-01-16,1,Decoración,25-61
125,1250,323,Plancha de vapor,R3,98.55,6,2024-01-16,2,Electrodomésticos,88-125
126,1431,232,Freidora eléctrica,R2,83.95,8,2024-01-16,2,Electrodomésticos,61-90
127,1920,322,Plancha de vapor,R2,86.65,6,2024-01-16,2,Electrodomésticos,55-88
128,2129,333,Proyector,R3,107.98,6,2024-01-16,3,Electrónica,86-125
129,2220,171,Consola de videojuegos,R1,31.57,1,2024-01-16,3,Electrónica,29-55
130,2477,201,Cámara digital,R1,38.37,9,2024-01-16,3,Electrónica,25-56
131,2789,333,Proyector,R3,115.19,11,2024-01-16,3,Electrónica,86-125
132,2935,132,Auriculares,R2,80.29,2,2024-01-16,3,Electrónica,58-93
133,131,292,Lámpara de mesa,R2,58.32,10,2024-01-17,1,Decoración,57-83
134,178,342,Rincón de plantas,R2,81.5,1,2024-01-17,1,Decoración,63-86
135,368,343,Rincón de plantas,R3,87.4,9,2024-01-17,1,Decoración,86-124
136,684,263,Jarrón decorativo,R3,106.89,6,2024-01-17,1,Decoración,92-126
137,1750,323,Plancha de vapor,R3,94.53,2,2024-01-17,2,Electrodomésticos,88-125
138,2284,382,Tablet,R2,69.35,4,2024-01-17,3,Electrónica,62-81
139,2402,393,Televisor,R3,117.53,9,2024-01-17,3,Electrónica,85-124
140,2698,362,SmartWatch,R2,76.47,7,2024-01-17,3,Electrónica,55-91
141,430,102,Adorno de pared,R2,81.76,5,2024-01-18,1,Decoración,66-91
142,588,342,Rincón de plantas,R2,80.17,3,2024-01-18,1,Decoración,63-86
143,1626,353,Secadora,R3,102.73,6,2024-01-18,2,Electrodomésticos,93-125
144,1900,321,Plancha de vapor,R1,45.14,1,2024-01-18,2,Electrodomésticos,26-55
145,2119,332,Proyector,R2,84.1,11,2024-01-18,3,Electrónica,63-86
146,2244,132,Auriculares,R2,63.67,5,2024-01-18,3,Electrónica,58-93
147,2297,203,Cámara digital,R3,119.43,5,2024-01-18,3,Electrónica,87-123
148,2416,272,Laptop,R2,81.74,10,2024-01-18,3,Electrónica,58-89
149,2431,312,Parlantes Bluetooth,R2,69.4,1,2024-01-18,3,Electrónica,61-89
150,2792,392,Televisor,R2,84.96,5,2024-01-18,3,Electrónica,57-85
151,30,102,Adorno de pared,R2,76.92,6,2024-01-19,1,Decoración,66-91
152,49,291,Lámpara de mesa,R1,52.95,6,2024-01-19,1,Decoración,25-57
153,104,263,Jarrón decorativo,R3,103.13,8,2024-01-19,1,Decoración,92-126
154,323,223,Espejo decorativo,R3,123.21,7,2024-01-19,1,Decoración,93-125
155,395,111,Alfombra,R1,33.48,12,2024-01-19,1,Decoración,28-54
156,851,293,Lámpara de mesa,R3,85.23,6,2024-01-19,1,Decoración,83-126
157,1125,283,Lavadora,R3,97.73,12,2024-01-19,2,Electrodomésticos,92-124
158,1332,153,Cafetera,R3,98.21,11,2024-01-19,2,Electrodomésticos,98-126
159,1806,351,Secadora,R1,27.45,10,2024-01-19,2,Electrodomésticos,26-50
160,2231,311,Parlantes Bluetooth,R1,42.98,7,2024-01-19,3,Electrónica,25-61
161,401,292,Lámpara de mesa,R2,69.47,8,2024-01-20,1,Decoración,57-83
162,788,342,Rincón de plantas,R2,85.75,3,2024-01-20,1,Decoración,63-86
163,1007,253,Horno eléctrico,R3,98.42,8,2024-01-20,2,Electrodomésticos,93-124
164,1489,143,Batidora,R3,95.59,3,2024-01-20,2,Electrodomésticos,91-126
165,2187,203,Cámara digital,R3,108.61,2,2024-01-20,3,Electrónica,87-123
166,2588,362,SmartWatch,R2,83.01,11,2024-01-20,3,Electrónica,55-91
167,2721,311,Parlantes Bluetooth,R1,40.74,6,2024-01-20,3,Electrónica,25-61
168,2897,202,Cámara digital,R2,71.45,5,2024-01-20,3,Electrónica,56-87
169,2987,203,Cámara digital,R3,91.13,8,2024-01-20,3,Electrónica,87-123
170,59,293,Lámpara de mesa,R3,121.72,8,2024-01-21,1,Decoración,83-126
171,754,262,Jarrón decorativo,R2,91.53,12,2024-01-21,1,Decoración,57-92
172,1117,253,Horno eléctrico,R3,103.57,1,2024-01-21,2,Electrodomésticos,93-124
173,1140,321,Plancha de vapor,R1,27.61,7,2024-01-21,2,Electrodomésticos,26-55
174,1145,282,Lavadora,R2,67.2,11,2024-01-21,2,Electrodomésticos,55-92
175,1286,352,Secadora,R2,84.5,11,2024-01-21,2,Electrodomésticos,50-93
176,1754,123,Aspiradora,R3,104.86,8,2024-01-21,2,Electrodomésticos,93-125
177,1882,151,Cafetera,R1,51.16,12,2024-01-21,2,Electrodomésticos,25-61
178,2560,172,Consola de videojuegos,R2,87.23,5,2024-01-21,3,Electrónica,55-90
179,442,191,Cuadro decorativo,R1,29.17,1,2024-01-22,1,Decoración,25-61
180,547,212,Elementos de cerámica,R2,83.81,6,2024-01-22,1,Decoración,52-90
181,984,261,Jarrón decorativo,R1,26.97,5,2024-01-22,1,Decoración,26-57
182,1106,352,Secadora,R2,91.54,2,2024-01-22,2,Electrodomésticos,50-93
183,1808,151,Cafetera,R1,45.98,3,2024-01-22,2,Electrodomésticos,25-61
184,1981,231,Freidora eléctrica,R1,48.68,8,2024-01-22,2,Electrodomésticos,25-61
185,80,101,Adorno de pared,R1,51.56,5,2024-01-23,1,Decoración,25-66
186,189,291,Lámpara de mesa,R1,26.42,2,2024-01-23,1,Decoración,25-57
187,839,293,Lámpara de mesa,R3,96.37,5,2024-01-23,1,Decoración,83-126
188,947,213,Elementos de cerámica,R3,117.34,1,2024-01-23,1,Decoración,90-125
189,1592,152,Cafetera,R2,86.79,3,2024-01-23,2,Electrodomésticos,61-98
190,2690,173,Consola de videojuegos,R3,102.4,2,2024-01-23,3,Electrónica,90-126
191,39,292,Lámpara de mesa,R2,57.35,12,2024-01-24,1,Decoración,57-83
192,164,262,Jarrón decorativo,R2,66.27,1,2024-01-24,1,Decoración,57-92
193,196,182,Cortinas,R2,90.87,4,2024-01-24,1,Decoración,57-91
194,768,343,Rincón de plantas,R3,89.47,2,2024-01-24,1,Decoración,86-124
195,1515,283,Lavadora,R3,108.37,1,2024-01-24,2,Electrodomésticos,92-124
196,1786,351,Secadora,R1,40.63,3,2024-01-24,2,Electrodomésticos,26-50
197,1977,251,Horno eléctrico,R1,45.79,7,2024-01-24,2,Electrodomésticos,27-58
198,2354,381,Tablet,R1,27.98,8,2024-01-24,3,Electrónica,26-62
199,2543,372,Smartphone,R2,91.39,7,2024-01-24,3,Electrónica,64-101
200,2623,371,Smartphone,R1,27.32,7,2024-01-24,3,Electrónica,26-64
201,2982,391,Televisor,R1,26.7,9,2024-01-24,3,Electrónica,26-57
202,85,112,Alfombra,R2,71.14,2,2024-01-25,1,Decoración,54-89
203,983,223,Espejo decorativo,R3,123.22,10,2024-01-25,1,Decoración,93-125
204,1378,152,Cafetera,R2,96.94,4,2024-01-25,2,Electrodomésticos,61-98
205,1485,282,Lavadora,R2,66.16,4,2024-01-25,2,Electrodomésticos,55-92
206,1503,301,Microondas,R1,39.45,9,2024-01-25,2,Electrodomésticos,26-67
207,2121,313,Parlantes Bluetooth,R3,100.6,6,2024-01-25,3,Electrónica,89-125
208,2340,173,Consola de videojuegos,R3,109.68,5,2024-01-25,3,Electrónica,90-126
209,2502,392,Televisor,R2,77.83,8,2024-01-25,3,Electrónica,57-85
210,2619,332,Proyector,R2,70.1,10,2024-01-25,3,Electrónica,63-86
211,2735,133,Auriculares,R3,93.37,10,2024-01-25,3,Electrónica,93-125
212,2948,361,SmartWatch,R1,29.15,2,2024-01-25,3,Electrónica,25-55
213,73,221,Espejo decorativo,R1,52.58,9,2024-01-26,1,Decoración,25-57
214,621,292,Lámpara de mesa,R2,70.6,6,2024-01-26,1,Decoración,57-83
215,787,213,Elementos de cerámica,R3,106.39,6,2024-01-26,1,Decoración,90-125
216,933,223,Espejo decorativo,R3,110.02,1,2024-01-26,1,Decoración,93-125
217,1768,153,Cafetera,R3,120.32,9,2024-01-26,2,Electrodomésticos,98-126
218,2252,393,Televisor,R3,89.27,8,2024-01-26,3,Electrónica,85-124
219,2305,131,Auriculares,R1,31.03,9,2024-01-26,3,Electrónica,26-58
220,218,343,Rincón de plantas,R3,120.32,1,2024-01-27,1,Decoración,86-124
221,310,103,Adorno de pared,R3,103.79,2,2024-01-27,1,Decoración,91-120
222,496,181,Cortinas,R1,37.02,5,2024-01-27,1,Decoración,25-57
223,1360,323,Plancha de vapor,R3,95.1,2,2024-01-27,2,Electrodomésticos,88-125
224,1744,121,Aspiradora,R1,28.79,12,2024-01-27,2,Electrodomésticos,26-64
225,1877,251,Horno eléctrico,R1,53.46,4,2024-01-27,2,Electrodomésticos,27-58
226,2165,131,Auriculares,R1,47.24,9,2024-01-27,3,Electrónica,26-58
227,2218,361,SmartWatch,R1,54.84,1,2024-01-27,3,Electrónica,25-55
228,2222,391,Televisor,R1,33.19,9,2024-01-27,3,Electrónica,26-57
229,2546,271,Laptop,R1,30.31,2,2024-01-27,3,Electrónica,27-58
230,617,211,Elementos de cerámica,R1,28.22,4,2024-01-28,1,Decoración,26-52
231,641,293,Lámpara de mesa,R3,95.46,10,2024-01-28,1,Decoración,83-126
232,912,193,Cuadro decorativo,R3,111.56,9,2024-01-28,1,Decoración,86-126
233,1999,143,Batidora,R3,103.27,3,2024-01-28,2,Electrodomésticos,91-126
234,2323,371,Smartphone,R1,34.5,1,2024-01-28,3,Electrónica,26-64
235,2636,271,Laptop,R1,33.07,10,2024-01-28,3,Electrónica,27-58
236,2693,373,Smartphone,R3,115.81,1,2024-01-28,3,Electrónica,101-126
237,373,221,Espejo decorativo,R1,29.77,11,2024-01-29,1,Decoración,25-57
238,1452,152,Cafetera,R2,88.56,8,2024-01-29,2,Electrodomésticos,61-98
239,1645,282,Lavadora,R2,76.5,3,2024-01-29,2,Electrodomésticos,55-92
240,2228,363,SmartWatch,R3,100.06,7,2024-01-29,3,Electrónica,91-126
241,2240,171,Consola de videojuegos,R1,43.35,8,2024-01-29,3,Electrónica,29-55
242,2245,131,Auriculares,R1,53.45,8,2024-01-29,3,Electrónica,26-58
243,2653,373,Smartphone,R3,121.22,6,2024-01-29,3,Electrónica,101-126
244,2870,172,Consola de videojuegos,R2,72.39,1,2024-01-29,3,Electrónica,55-90
245,2938,363,SmartWatch,R3,122.68,1,2024-01-29,3,Electrónica,91-126
246,2953,373,Smartphone,R3,121.0,12,2024-01-29,3,Electrónica,101-126
247,1046,353,Secadora,R3,109.0,11,2024-01-30,2,Electrodomésticos,93-125
248,1886,351,Secadora,R1,47.91,1,2024-01-30,2,Electrodomésticos,26-50
249,1965,281,Lavadora,R1,43.52,7,2024-01-30,2,Electrodomésticos,26-55
250,2005,131,Auriculares,R1,56.56,4,2024-01-30,3,Electrónica,26-58
251,2273,371,Smartphone,R1,59.33,2,2024-01-30,3,Electrónica,26-64
252,2522,393,Televisor,R3,94.98,2,2024-01-30,3,Electrónica,85-124
253,2784,381,Tablet,R1,41.96,9,2024-01-30,3,Electrónica,26-62
254,2945,133,Auriculares,R3,115.2,1,2024-01-30,3,Electrónica,93-125
255,50,102,Adorno de pared,R2,83.1,5,2024-01-31,1,Decoración,66-91
256,162,191,Cuadro decorativo,R1,59.6,5,2024-01-31,1,Decoración,25-61
257,259,292,Lámpara de mesa,R2,78.89,11,2024-01-31,1,Decoración,57-83
258,277,212,Elementos de cerámica,R2,52.17,7,2024-01-31,1,Decoración,52-90
259,852,192,Cuadro decorativo,R2,78.93,4,2024-01-31,1,Decoración,61-86
260,1185,283,Lavadora,R3,92.36,1,2024-01-31,2,Electrodomésticos,92-124
261,1210,323,Plancha de vapor,R3,101.96,10,2024-01-31,2,Electrodomésticos,88-125
262,1254,122,Aspiradora,R2,74.11,11,2024-01-31,2,Electrodomésticos,64-93
263,1481,233,Freidora eléctrica,R3,121.77,12,2024-01-31,2,Electrodomésticos,90-125
264,1898,152,Cafetera,R2,63.54,9,2024-01-31,2,Electrodomésticos,61-98
265,2185,131,Auriculares,R1,35.74,11,2024-01-31,3,Electrónica,26-58
266,2752,133,Auriculares,R3,119.77,5,2024-01-31,3,Electrónica,93-125
267,2916,273,Laptop,R3,93.91,2,2024-01-31,3,Electrónica,89-126
268,733,221,Espejo decorativo,R1,44.37,2,2024-02-01,1,Decoración,25-57
269,848,342,Rincón de plantas,R2,81.92,10,2024-02-01,1,Decoración,63-86
270,1102,153,Cafetera,R3,108.33,2,2024-02-01,2,Electrodomésticos,98-126
271,1764,123,Aspiradora,R3,112.38,10,2024-02-01,2,Electrodomésticos,93-125
272,1813,302,Microondas,R2,89.16,5,2024-02-01,2,Electrodomésticos,67-94
273,2069,332,Proyector,R2,76.17,12,2024-02-01,3,Electrónica,63-86
274,2474,133,Auriculares,R3,123.41,8,2024-02-01,3,Electrónica,93-125
275,2680,172,Consola de videojuegos,R2,89.96,2,2024-02-01,3,Electrónica,55-90
276,380,101,Adorno de pared,R1,45.84,10,2024-02-02,1,Decoración,25-66
277,557,213,Elementos de cerámica,R3,108.86,6,2024-02-02,1,Decoración,90-125
278,828,341,Rincón de plantas,R1,27.95,7,2024-02-02,1,Decoración,25-63
279,829,291,Lámpara de mesa,R1,41.6,12,2024-02-02,1,Decoración,25-57
280,1600,321,Plancha de vapor,R1,47.6,10,2024-02-02,2,Electrodomésticos,26-55
281,2079,333,Proyector,R3,111.74,6,2024-02-02,3,Electrónica,86-125
282,2115,131,Auriculares,R1,26.0,9,2024-02-02,3,Electrónica,26-58
283,2133,372,Smartphone,R2,88.43,2,2024-02-02,3,Electrónica,64-101
284,2329,331,Proyector,R1,62.88,7,2024-02-02,3,Electrónica,26-63
285,2476,273,Laptop,R3,109.23,7,2024-02-02,3,Electrónica,89-126
286,2548,363,SmartWatch,R3,108.99,10,2024-02-02,3,Electrónica,91-126
287,211,291,Lámpara de mesa,R1,30.03,8,2024-02-03,1,Decoración,25-57
288,541,292,Lámpara de mesa,R2,76.33,10,2024-02-03,1,Decoración,57-83
289,695,111,Alfombra,R1,51.29,2,2024-02-03,1,Decoración,28-54
290,1336,351,Secadora,R1,42.81,7,2024-02-03,2,Electrodomésticos,26-50
291,1499,142,Batidora,R2,77.53,4,2024-02-03,2,Electrodomésticos,65-91
292,2007,203,Cámara digital,R3,117.11,9,2024-02-03,3,Electrónica,87-123
293,2068,361,SmartWatch,R1,49.23,4,2024-02-03,3,Electrónica,25-55
294,2758,362,SmartWatch,R2,81.32,6,2024-02-03,3,Electrónica,55-91
295,2851,313,Parlantes Bluetooth,R3,110.42,2,2024-02-03,3,Electrónica,89-125
296,64,263,Jarrón decorativo,R3,104.16,10,2024-02-04,1,Decoración,92-126
297,763,223,Espejo decorativo,R3,117.99,3,2024-02-04,1,Decoración,93-125
298,1424,122,Aspiradora,R2,69.31,10,2024-02-04,2,Electrodomésticos,64-93
299,1455,281,Lavadora,R1,38.61,10,2024-02-04,2,Electrodomésticos,26-55
300,1456,352,Secadora,R2,84.24,3,2024-02-04,2,Electrodomésticos,50-93
301,2315,133,Auriculares,R3,109.07,4,2024-02-04,3,Electrónica,93-125
302,2832,391,Televisor,R1,49.23,4,2024-02-04,3,Electrónica,26-57
303,24,262,Jarrón decorativo,R2,70.51,12,2024-02-05,1,Decoración,57-92
304,40,103,Adorno de pared,R3,100.32,10,2024-02-05,1,Decoración,91-120
305,347,212,Elementos de cerámica,R2,83.52,12,2024-02-05,1,Decoración,52-90
306,911,291,Lámpara de mesa,R1,33.9,4,2024-02-05,1,Decoración,25-57
307,1451,231,Freidora eléctrica,R1,48.52,4,2024-02-05,2,Electrodomésticos,25-61
308,1855,283,Lavadora,R3,123.28,8,2024-02-05,2,Electrodomésticos,92-124
309,1961,232,Freidora eléctrica,R2,81.99,1,2024-02-05,2,Electrodomésticos,61-90
310,2378,362,SmartWatch,R2,72.38,1,2024-02-05,3,Electrónica,55-91
311,2426,271,Laptop,R1,47.57,4,2024-02-05,3,Electrónica,27-58
312,1064,122,Aspiradora,R2,65.0,9,2024-02-06,2,Electrodomésticos,64-93
313,1313,302,Microondas,R2,82.58,9,2024-02-06,2,Electrodomésticos,67-94
314,1848,153,Cafetera,R3,123.27,4,2024-02-06,2,Electrodomésticos,98-126
315,2267,202,Cámara digital,R2,57.81,10,2024-02-06,3,Electrónica,56-87
316,2438,361,SmartWatch,R1,45.98,3,2024-02-06,3,Electrónica,25-55
317,2566,272,Laptop,R2,70.59,9,2024-02-06,3,Electrónica,58-89
318,2617,203,Cámara digital,R3,89.53,9,2024-02-06,3,Electrónica,87-123
319,2627,203,Cámara digital,R3,102.83,5,2024-02-06,3,Electrónica,87-123
320,381,293,Lámpara de mesa,R3,124.57,3,2024-02-07,1,Decoración,83-126
321,393,223,Espejo decorativo,R3,122.11,7,2024-02-07,1,Decoración,93-125
322,662,191,Cuadro decorativo,R1,42.09,12,2024-02-07,1,Decoración,25-61
323,770,103,Adorno de pared,R3,103.74,5,2024-02-07,1,Decoración,91-120
324,895,113,Alfombra,R3,102.72,2,2024-02-07,1,Decoración,89-125
