fecha,plataforma,seguidores,likes,comentarios
2025-03-27,TikTok,875,80,16
2024-08-20,Instagram,946,75,17
2024-12-13,YouTube,1357,105,18
2024-12-14,Instagram,850,114,25
2024-09-24,X,841,110,22
2024-09-13,TikTok,809,99,7
2024-11-22,Facebook,1122,82,16
2024-11-29,X,1427,130,26
2024-12-03,TikTok,1216,113,25
2025-01-29,YouTube,837,89,24
2024-06-29,Facebook,775,141,10
2025-05-05,YouTube,1275,127,12
2024-06-17,Facebook,856,148,16
2024-10-13,TikTok,1283,134,20
2024-09-20,Facebook,1020,123,19
2025-01-04,Instagram,1097,130,26
2025-02-24,X,1438,133,18
2024-07-09,YouTube,1177,78,8
2025-02-04,Instagram,1121,125,12
2024-12-14,Facebook,868,124,7
2025-04-25,YouTube,1183,100,13
2024-08-04,TikTok,1256,143,8
2025-05-09,Instagram,1462,103,12
2024-10-27,Facebook,1496,89,26
2024-07-07,X,975,112,14
2024-06-12,TikTok,1509,141,25
2025-04-23,X,1293,86,12
2025-04-24,Facebook,1178,102,21
2024-09-01,TikTok,1006,87,12
2025-01-08,YouTube,1084,115,7
2025-02-04,TikTok,981,145,14
2024-09-09,X,1337,113,18
2024-10-24,Facebook,1046,82,25
2024-12-26,YouTube,762,112,10
2024-07-22,Facebook,934,80,15
2024-11-27,X,1383,94,16
2024-07-02,Instagram,944,106,21
2025-01-20,X,1087,78,11
2025-01-19,Instagram,1275,152,13
2025-04-05,YouTube,1075,112,14
2025-01-21,YouTube,1178,124,7
2024-07-21,TikTok,1100,98,22
2025-06-06,YouTube,1311,124,24
2025-04-26,X,1447,96,20
2025-01-06,TikTok,1203,107,26
2025-02-23,YouTube,1333,122,8
2024-07-24,TikTok,805,119,20
2024-11-18,TikTok,1342,88,18
2024-09-14,X,964,126,26
2024-09-03,Instagram,1438,151,24
2024-11-27,YouTube,1089,131,12
2025-03-11,Instagram,1037,93,14
2025-01-31,Facebook,967,127,24
2025-03-20,Facebook,1255,128,15
2024-12-24,Instagram,937,113,12
2024-08-10,YouTube,1321,77,13
2025-03-21,TikTok,1336,151,19
2024-11-27,Facebook,1051,135,17
2025-06-06,Facebook,1357,95,12
2024-10-27,X,1516,102,24
2024-08-13,Facebook,1085,133,10
2024-12-18,YouTube,781,87,15
2024-08-12,Instagram,1378,116,15
2024-11-19,Instagram,781,129,11
2024-10-22,TikTok,1497,147,16
2024-07-05,YouTube,1139,144,7
2024-07-03,Facebook,1329,83,17
2024-08-15,Facebook,915,120,26
2025-05-02,TikTok,1447,133,11
2025-01-07,X,1077,143,25
2025-02-12,YouTube,1392,87,13
2024-08-18,X,1011,122,16
2024-10-19,Instagram,1360,149,7
2025-01-06,YouTube,787,100,25
2024-09-14,Instagram,1289,145,23
2025-05-12,X,1045,130,14
2025-05-08,TikTok,1258,127,15
2025-04-17,YouTube,1518,135,16
2024-06-14,TikTok,1262,141,25
2025-05-31,YouTube,1373,97,16
2024-08-24,X,1507,149,24
2024-09-04,TikTok,857,89,23
2025-04-28,Facebook,1266,78,25
2024-07-03,X,1123,78,13
2024-12-10,TikTok,1170,111,26
2025-04-19,X,1106,141,23
2025-05-08,YouTube,1104,126,14
2024-07-01,Instagram,1415,147,13
2024-09-04,X,857,109,13
2024-10-19,Facebook,1135,104,26
2025-04-15,Instagram,879,117,13
2024-10-23,YouTube,1325,116,20
2025-03-06,Instagram,806,145,11
2024-08-14,TikTok,751,137,20
2024-08-16,Instagram,775,125,15
2024-08-01,Facebook,1503,76,14
2024-11-18,YouTube,1196,128,20
2024-07-29,Instagram,1028,133,17
2024-10-29,Facebook,1412,136,13
2025-02-05,X,1143,109,11
2024-12-23,Instagram,1264,82,14
2024-07-15,X,835,120,21
2025-02-12,Instagram,1420,141,8
2024-11-18,X,1026,80,16
2024-08-15,X,1266,83,11
2025-05-13,X,1451,110,14
2024-12-02,X,1031,85,20
2024-07-11,Facebook,971,125,21
2024-08-16,YouTube,812,137,12
2025-01-27,TikTok,918,80,24
2025-02-08,X,1127,84,26
2025-03-20,X,1499,145,12
2025-01-30,YouTube,995,96,8
2024-11-24,YouTube,855,129,7
2025-06-06,TikTok,870,86,21
2025-03-18,YouTube,1389,120,14
2024-07-16,TikTok,1220,75,9
2024-06-13,X,1185,100,22
2024-12-01,TikTok,1169,135,11
2025-02-13,Instagram,1064,114,14
2025-01-13,X,912,151,26
2025-03-06,YouTube,787,121,7
2024-09-13,TikTok,1314,83,15
2024-06-26,TikTok,1181,114,23
2024-07-02,Instagram,1469,127,20
2025-03-16,X,834,115,8
2025-04-06,YouTube,1375,121,21
2024-10-04,Instagram,839,152,22
2025-02-27,Instagram,1184,113,9
2024-12-22,Facebook,935,135,20
2025-06-01,Facebook,1000,102,17
2024-11-26,TikTok,1370,80,15
2025-01-13,X,1238,114,7
2024-06-28,TikTok,1453,152,12
2024-10-12,Instagram,1268,146,17
2024-07-01,TikTok,860,149,8
2025-02-17,Instagram,937,76,26
2025-04-14,Instagram,949,133,15
2024-09-29,TikTok,1292,132,25
2025-02-07,TikTok,1089,94,19
2025-04-16,YouTube,1473,140,9
2024-07-03,X,1272,132,23
2025-03-16,YouTube,1358,118,13
2025-05-07,X,793,78,25
2025-04-17,X,1386,146,7
2025-03-06,YouTube,1176,139,14
2025-02-23,Facebook,1447,112,25
2025-05-15,YouTube,1389,104,24
2024-11-13,TikTok,821,107,26
2024-07-21,X,1388,124,15
2024-09-16,YouTube,1315,148,14
2024-10-01,TikTok,1321,96,14
2025-05-12,Instagram,1497,86,9
2025-04-26,Instagram,816,118,20
2025-02-06,X,1481,75,15
2024-10-29,X,808,152,15
2024-09-21,Instagram,1153,101,12
2024-11-05,TikTok,1168,117,26
2025-01-03,YouTube,1024,133,21
2024-07-03,Facebook,1357,107,11
2025-01-14,YouTube,1405,86,20
2024-11-02,Facebook,1251,125,26
2025-06-03,YouTube,1334,88,26
2024-10-01,Facebook,1085,143,7
2024-10-13,Facebook,1520,128,11
2025-01-11,TikTok,988,112,7
2025-03-06,Facebook,1248,132,18
2025-04-26,TikTok,792,83,16
2025-01-24,YouTube,913,110,25
2025-02-19,X,1140,82,26
2025-01-03,X,1502,119,7
2025-04-02,X,1295,109,8
2025-04-24,X,1367,117,22
2024-11-01,Facebook,1066,130,25
2024-06-29,Facebook,1188,125,9
2025-05-05,Facebook,1367,76,10
2025-01-18,X,1036,125,8
2024-08-01,X,1288,95,18
2024-10-01,X,1085,118,13
2024-10-27,YouTube,1112,152,24
2024-11-29,TikTok,958,152,12
2024-11-30,X,1401,136,18
2024-08-28,Instagram,1101,136,17
2025-02-05,Instagram,1246,81,17
2025-01-24,X,1302,134,15
2024-10-15,Facebook,1057,122,23
2025-06-02,YouTube,1383,105,10
2024-07-16,Facebook,1074,119,23
2024-06-17,TikTok,860,84,11
2025-01-14,Instagram,1494,120,7
2024-11-10,Facebook,833,151,24
2024-09-17,X,888,150,16
2024-11-14,YouTube,852,138,18
2025-01-14,Instagram,1441,103,10
2024-11-27,Instagram,1042,113,23
2024-10-18,X,1493,75,19
2025-05-05,X,1068,96,13
2025-06-04,Instagram,1264,134,7
2024-12-31,X,968,91,20
2025-03-28,YouTube,768,138,20
2025-01-08,TikTok,1351,123,17
2025-01-05,YouTube,1498,136,9
2024-06-13,TikTok,929,77,18
2025-05-23,YouTube,1055,127,12
2024-08-02,YouTube,1192,120,18
2025-03-12,YouTube,1485,112,12
2024-12-25,Facebook,1233,107,25
2024-09-18,Instagram,1139,83,17
2025-02-04,TikTok,776,86,17
2024-08-10,X,1262,76,22
2025-06-06,YouTube,1016,139,14
2024-09-11,TikTok,1032,116,26
2024-10-08,X,860,82,19
2025-03-31,Facebook,1293,138,26
2024-09-05,YouTube,895,104,19
2025-05-27,YouTube,798,95,15
2024-07-12,Facebook,1491,90,25
2024-09-02,X,1299,86,26
2024-10-05,Facebook,1334,105,16
2024-07-11,YouTube,1029,82,12
2024-07-20,X,1177,118,11
2025-03-23,YouTube,924,105,19
2024-09-14,Facebook,1406,103,23
2025-01-04,TikTok,790,145,10
2025-05-17,YouTube,1250,133,9
2024-10-21,Instagram,1196,141,14
2025-02-22,X,1512,145,20
2024-10-02,X,821,149,17
2025-03-12,Facebook,1038,144,24
2024-08-13,TikTok,1142,87,17
2025-05-04,Instagram,1332,108,22
2025-01-21,X,1119,114,22
2025-04-16,X,874,131,24
2025-04-20,X,1442,77,21
2024-11-26,TikTok,941,114,10
2024-09-19,Instagram,1351,112,17
2025-01-27,X,1511,121,14
2024-09-02,Facebook,1365,135,10
2025-04-23,Facebook,953,107,13
2025-01-26,Facebook,1260,91,17
2024-08-09,X,764,128,20
2025-02-21,YouTube,1185,99,11
2025-04-05,Instagram,799,78,24
2024-12-25,Facebook,818,146,23
2024-08-19,YouTube,1379,151,25
2025-05-16,YouTube,1476,118,18
2025-02-13,TikTok,806,125,24
2024-06-22,Facebook,935,91,26
2024-09-22,X,932,75,9
2024-08-07,YouTube,1236,78,26
2024-07-11,TikTok,1181,105,20
2025-02-22,TikTok,1121,142,14
2025-03-11,TikTok,1386,102,23
2024-06-28,Facebook,1273,135,7
2024-10-09,Instagram,1323,103,18
2025-01-06,TikTok,759,105,26
2024-07-15,X,816,91,10
2024-08-08,Instagram,1058,145,18
2025-01-25,Facebook,924,120,12
2025-01-18,Facebook,1245,131,17
2024-06-27,Facebook,1274,133,11
2024-07-26,X,1474,92,19
2025-02-03,Facebook,1252,115,21
2025-04-11,Instagram,954,75,25
2024-08-14,Facebook,1371,130,8
2025-01-20,Instagram,1055,138,20
2024-07-03,TikTok,1087,99,24
2025-01-31,YouTube,798,139,7
2025-03-15,Facebook,1089,150,18
2024-11-25,TikTok,784,83,22
2024-08-19,YouTube,823,85,24
2024-10-13,Instagram,1197,141,20
2025-03-13,Instagram,866,122,26
2025-02-06,YouTube,1187,128,8
2024-11-09,X,770,151,10
2025-02-23,Instagram,972,87,10
2024-11-06,Facebook,1210,108,24
2025-05-14,TikTok,1474,103,19
2024-08-30,YouTube,867,143,22
2025-05-29,Facebook,1431,102,21
2024-12-27,Facebook,1384,137,20
2025-02-13,Facebook,831,142,14
2024-11-19,Facebook,1191,114,18
2024-12-18,X,1239,98,25
2025-04-13,TikTok,1351,89,21
2024-12-23,TikTok,1304,99,26
2025-01-15,Instagram,837,115,14
2024-09-26,TikTok,1189,145,26
2024-12-18,TikTok,1365,131,12
2024-06-21,X,1246,98,11
2025-04-18,Instagram,986,134,9
2024-11-17,TikTok,914,93,15
2024-12-11,Facebook,784,144,11
2024-08-17,TikTok,1143,91,13
2024-07-11,TikTok,1020,76,26
2024-12-21,Facebook,1144,137,14
2024-11-08,Facebook,767,91,16
2024-09-08,X,1264,83,15
2025-05-06,Facebook,1471,132,14
2025-04-02,Instagram,1118,96,26
2025-02-16,TikTok,1071,78,25
2024-12-22,TikTok,1484,79,13
2024-06-16,TikTok,1259,96,13
2025-05-08,X,1211,103,8
2024-11-13,YouTube,982,104,9
2024-07-28,Instagram,1507,77,22
2025-01-29,Instagram,890,139,8
2025-02-18,Instagram,900,110,23
2025-05-15,Instagram,901,125,7
2025-04-29,TikTok,1270,142,23
2025-05-13,X,980,131,17
2024-08-10,Instagram,1283,143,18
2025-02-20,Instagram,951,129,21
2025-03-31,Facebook,771,130,21
2024-12-12,X,1157,134,24
2024-12-04,Facebook,973,99,8
2025-04-18,Instagram,1165,75,25
2024-08-03,TikTok,782,145,22
2024-06-11,Facebook,1497,125,24
2025-04-22,TikTok,1486,88,26
2024-10-25,X,1028,81,12
2024-11-18,X,852,107,12
2024-08-13,X,1298,81,18
2024-06-23,Instagram,1133,135,22
2025-01-23,YouTube,1203,122,17
2024-12-14,Facebook,1327,99,26
2025-03-15,Facebook,1058,78,26
2025-05-31,YouTube,1497,105,12
2024-09-28,Facebook,1325,90,23
2024-12-17,YouTube,1412,82,9
2025-02-04,TikTok,1356,107,11
2025-05-24,Instagram,1422,141,15
2024-12-25,TikTok,901,95,23
2024-10-20,TikTok,850,80,7
2024-08-10,X,861,136,18
2024-08-22,X,1159,135,16
2024-09-11,Instagram,1306,93,23
2024-10-26,Facebook,856,113,19
2024-10-17,Instagram,1315,75,13
2024-08-30,Instagram,1054,132,17
2024-12-15,Instagram,1167,136,22
2024-10-26,Facebook,873,84,24
2025-04-09,Facebook,796,150,23
2025-01-02,YouTube,1394,140,14
2024-08-28,Instagram,1169,95,13
2024-11-24,Facebook,1109,113,18
2024-06-11,X,1085,118,10
2025-02-06,Facebook,1393,87,20
2024-12-31,Facebook,1082,116,13
2024-06-15,YouTube,873,135,8
2025-01-21,YouTube,1076,122,18
2024-12-22,Facebook,1364,84,19
2025-04-18,TikTok,755,90,20
2024-08-26,TikTok,1283,129,11
2025-05-24,TikTok,937,150,20
2025-03-11,YouTube,839,143,20
2025-02-24,X,1317,104,10
2025-01-11,Facebook,1521,77,23
2025-02-16,X,1463,109,21
2025-02-24,X,977,115,24
2024-09-23,Instagram,1121,81,22
2024-10-02,YouTube,1079,93,21
2024-12-28,TikTok,1286,100,16
2024-12-20,Instagram,1280,83,12
2025-05-15,Facebook,1103,104,11
2024-08-13,Facebook,1349,122,13
2024-12-12,Instagram,1250,103,7
2024-07-21,Instagram,1116,150,21
2025-02-15,Instagram,908,89,12
2024-10-06,YouTube,1438,112,7
2024-08-23,Facebook,1256,143,9
2024-12-02,Instagram,1289,146,13
2024-08-10,TikTok,1332,86,22
2024-12-23,Facebook,971,85,10
2024-08-02,Instagram,1194,131,26
2024-07-20,YouTube,1385,143,17
2024-06-29,Instagram,1406,98,11
2024-12-15,Facebook,939,92,21
2024-08-01,TikTok,1472,125,19
2025-01-12,X,1461,147,20
2024-11-14,X,875,126,17
2025-05-24,YouTube,1469,83,10
2024-09-21,Facebook,1429,82,18
2024-12-27,X,905,151,7
2024-06-17,YouTube,1188,125,13
2024-07-31,TikTok,1262,139,12
2024-06-10,X,1135,75,20
2025-05-10,Facebook,1476,124,17
2025-03-14,Instagram,759,108,22
2024-07-24,Instagram,1158,130,13
2025-02-10,Facebook,1502,107,9
2024-08-08,YouTube,964,144,16
2024-06-09,Instagram,804,92,24
2024-11-26,X,910,77,20
2025-04-20,YouTube,1128,98,17
2024-11-11,TikTok,1058,117,11
2025-03-10,YouTube,1061,96,20
2025-04-15,Instagram,805,98,22
2024-12-12,Facebook,964,91,7
2024-08-12,YouTube,963,86,10
2024-12-28,YouTube,1487,135,12
2024-08-15,Facebook,1332,79,18
2025-02-12,TikTok,1135,150,23
2025-03-11,YouTube,752,117,10
2024-10-18,X,1511,150,9
2024-07-07,Instagram,1374,131,24
2024-09-02,Facebook,1009,86,24
2024-07-01,YouTube,1286,135,11
2024-10-30,TikTok,1031,148,16
2025-03-24,X,850,91,16
2024-06-24,TikTok,808,85,19
2025-06-02,YouTube,1203,97,24
2025-04-05,X,1079,108,17
2024-09-13,X,921,107,12
2024-07-31,TikTok,1205,141,12
2024-09-17,X,954,105,19
2024-11-08,X,937,105,26
2024-09-04,TikTok,1522,110,13
2024-11-18,TikTok,1268,146,22
2025-05-21,X,1032,124,8
2024-10-19,YouTube,1468,112,17
2025-04-14,TikTok,1301,149,13
2025-04-09,YouTube,1512,150,14
2024-08-07,X,791,92,12
2024-11-23,Instagram,1357,120,15
2025-02-05,Instagram,963,136,15
2024-12-17,Facebook,1209,81,26
2024-08-07,Instagram,1503,125,25
2024-09-29,Facebook,1281,149,11
2025-04-23,YouTube,1048,83,26
2025-04-28,X,826,88,11
2025-05-08,TikTok,1195,137,21
2024-12-04,TikTok,926,85,17
2025-01-13,YouTube,1291,83,21
2025-04-10,Instagram,1419,122,24
2025-05-15,YouTube,1054,94,16
2025-04-17,Facebook,774,125,21
2025-02-19,TikTok,868,146,17
2024-07-11,Instagram,1041,120,14
2025-05-16,X,1478,137,17
2024-12-13,TikTok,1025,127,26
2024-09-19,X,769,113,17
2024-08-02,TikTok,1362,86,8
2025-05-09,X,1386,119,15
2024-10-10,TikTok,1286,77,26
2024-06-17,Instagram,1156,121,25
2024-10-30,TikTok,1127,135,10
2024-07-01,Facebook,1407,100,12
2025-02-14,TikTok,875,92,9
2024-10-24,Facebook,1505,103,7
2025-02-03,Instagram,1150,102,7
2025-03-17,Instagram,1104,131,12
2025-02-02,Facebook,1084,106,11
2024-12-07,TikTok,1076,109,18
2024-07-29,TikTok,1072,122,15
2025-05-05,X,842,75,8
2025-02-16,YouTube,1455,145,8
2024-10-09,Facebook,1345,82,12
2025-01-02,Facebook,1334,142,8
2025-01-28,YouTube,1009,103,17
2024-10-14,Facebook,935,104,16
2024-12-17,YouTube,1464,134,13
2024-11-21,Instagram,922,147,20
2024-12-24,Instagram,1049,127,16
2024-07-14,YouTube,1231,94,16
2024-08-01,YouTube,1045,99,14
2025-02-18,TikTok,1419,95,19
2024-09-02,Facebook,1388,89,9
2024-10-07,Facebook,1210,113,17
2024-12-26,X,1477,139,16
2024-08-01,YouTube,1246,78,15
2024-07-08,YouTube,1396,126,11
2024-11-20,Instagram,1112,152,25
2025-03-26,TikTok,1381,143,22
2024-11-09,TikTok,1062,144,13
2025-02-13,YouTube,1339,139,13
2025-05-15,Instagram,971,123,17
2025-03-18,YouTube,841,119,7
2024-08-19,Facebook,1245,127,25
2024-10-08,X,1242,119,12
2025-05-10,YouTube,1131,114,20
2024-06-10,Facebook,1132,103,16
2025-03-12,X,758,99,11
2025-04-25,YouTube,1050,85,13
2024-07-08,Facebook,1215,129,26
2024-09-18,TikTok,1331,133,22
2024-07-30,Instagram,890,102,26
2025-05-17,TikTok,819,99,23
2024-06-13,X,906,136,24
2024-08-27,X,1424,144,22
2024-09-15,Facebook,1012,90,25
2024-10-13,Facebook,1249,103,18
2024-11-15,Instagram,995,83,19
2024-11-04,Facebook,1432,123,26
2025-05-31,YouTube,1089,79,25
2025-04-25,YouTube,870,101,25
2025-05-30,X,875,93,17
2024-09-28,YouTube,1489,121,23
2025-04-15,YouTube,751,86,21
2024-11-07,YouTube,1076,130,10
2025-01-17,Facebook,1132,88,23
2024-09-14,Facebook,828,145,10
2024-06-11,X,1256,133,23
2025-01-17,YouTube,1053,93,8
2025-04-25,YouTube,1288,103,12
2024-08-17,X,963,117,13
2025-06-08,X,1465,139,16
2025-04-27,TikTok,899,145,14
2024-12-09,TikTok,1111,102,10
2025-05-24,TikTok,1133,112,19
2024-11-18,X,906,76,14
2024-11-21,X,995,148,14
2024-10-10,Instagram,1514,97,8
2025-03-28,X,1132,132,19
2024-06-22,X,1258,92,19
2025-03-25,TikTok,1056,102,11
2024-12-19,Facebook,1218,78,16
2024-06-21,TikTok,1403,128,17
2024-11-16,X,1334,117,13
2025-06-02,X,1421,145,14
2024-07-29,Instagram,857,148,12
2024-07-14,Facebook,1403,75,24
2024-11-30,Instagram,972,118,13
2025-05-25,YouTube,1268,85,12
2024-07-20,X,1192,110,16
2025-03-03,Facebook,933,94,13
2025-03-06,Facebook,1361,103,7
2024-07-07,YouTube,1004,106,12
2024-09-02,X,1324,145,9
2025-05-07,X,986,120,24
2025-02-28,X,1146,95,8
2024-07-12,Facebook,943,123,13
2025-01-04,YouTube,1281,84,17
2024-12-31,TikTok,1095,94,25
2024-12-11,Facebook,1481,89,15
2024-10-21,Instagram,1485,132,25
2024-11-27,TikTok,1463,151,26
2024-10-03,Instagram,1290,122,13
2025-04-23,X,781,98,26
2025-04-17,Instagram,1514,77,22
2025-02-28,X,1132,130,9
2025-04-20,Instagram,1444,76,9
2025-04-04,Instagram,913,77,22
2024-10-09,Instagram,1032,144,8
2025-02-01,X,1113,125,12
2025-05-12,Facebook,1504,142,20
2024-08-13,X,993,103,15
2025-04-18,X,828,106,10
2024-11-25,YouTube,964,128,11
2025-03-21,TikTok,1335,83,8
2025-01-07,Instagram,860,94,25
2024-06-22,Instagram,1052,143,14
2025-03-14,X,1226,126,8
2025-01-31,Facebook,979,96,25
2025-03-27,Facebook,837,103,17
2024-07-14,YouTube,1108,114,23
2024-06-20,Instagram,931,96,13
2025-04-08,TikTok,1343,89,21
2024-09-08,X,1444,110,17
2024-08-31,TikTok,843,93,18
2024-10-02,Instagram,1137,146,20
2025-01-04,X,765,110,10
2024-10-04,Instagram,1288,133,11
2025-04-29,TikTok,874,147,22
2024-07-20,TikTok,783,90,12
2024-07-09,Instagram,830,150,9
2025-03-09,YouTube,991,148,10
2024-11-18,YouTube,1131,96,12
2024-07-25,TikTok,1121,137,22
2024-12-10,Instagram,933,137,19
2024-06-18,Instagram,817,133,23
2025-05-09,X,1470,78,20
2024-07-15,Facebook,1254,109,13
2024-08-31,X,1384,84,7
2024-12-08,Instagram,1265,144,17
2024-08-09,TikTok,1066,140,11
2024-12-06,X,1233,149,13
2024-09-12,X,1513,118,23
2024-06-25,TikTok,787,144,7
2025-02-19,TikTok,1164,108,25
2025-04-25,Facebook,1158,144,20
2025-02-09,TikTok,806,135,17
2024-11-24,YouTube,1403,121,13
2024-08-01,YouTube,1281,101,7
2024-06-19,Instagram,1510,122,23
2025-01-26,X,874,87,8
2025-02-21,X,1441,76,19
2024-08-23,Instagram,1388,89,15
2024-09-09,X,781,136,11
2025-04-30,Instagram,1186,141,14
2024-11-25,Facebook,1235,88,18
2025-05-17,Facebook,764,86,14
2025-01-31,Instagram,1214,115,23
2025-05-19,TikTok,1057,121,12
2024-06-14,X,1086,132,11
2024-09-07,Facebook,1204,125,11
2024-12-01,TikTok,967,146,16
2024-09-04,X,1213,77,26
2025-05-22,Facebook,852,97,25
2024-07-27,X,1404,94,13
2024-07-02,X,1384,126,19
2025-05-07,Facebook,1249,145,19
2025-01-27,Facebook,1358,133,21
2024-06-16,Facebook,1433,79,15
2025-03-02,X,1395,86,20
2025-01-03,Facebook,1381,128,16
2025-06-08,Facebook,1070,88,23
2024-12-25,X,910,115,15
2025-05-10,YouTube,1456,76,20
2024-07-30,X,801,116,11
2024-06-25,TikTok,1107,143,24
2025-05-03,YouTube,922,120,25
2025-05-24,TikTok,1484,133,17
2024-07-29,X,1517,120,10
2024-11-19,YouTube,1088,117,7
2024-11-19,TikTok,936,135,13
2025-05-09,TikTok,1012,129,24
2025-05-12,TikTok,1411,136,13
2024-09-08,YouTube,893,123,10
2025-03-14,X,1195,141,15
2024-12-20,TikTok,1215,129,13
2024-08-09,Instagram,1211,120,24
2025-01-26,X,1406,115,20
2024-10-19,Facebook,1355,101,10
2024-10-02,X,1067,77,16
2025-05-31,X,1152,124,7
2024-09-12,YouTube,864,93,8
2024-08-14,TikTok,860,104,12
2024-12-21,Facebook,1476,113,9
2025-04-18,Facebook,1389,115,19
2025-06-06,Facebook,1356,101,24
2025-01-27,Instagram,1515,137,7
2025-01-13,Facebook,1329,146,8
2024-12-10,Facebook,1273,103,11
2025-06-02,Facebook,1488,119,15
2024-11-11,X,1390,77,7
2024-11-14,YouTube,1039,115,10
2024-11-08,TikTok,1368,124,15
2024-06-14,Instagram,888,93,13
2025-02-16,X,1091,150,22
2024-11-29,X,1514,125,10
2024-10-24,YouTube,804,103,8
2024-09-12,Instagram,988,150,24
2025-02-18,TikTok,1135,119,13
2024-12-15,YouTube,1011,85,26
2024-07-04,Facebook,891,89,7
2025-01-21,YouTube,1252,113,26
2025-03-08,YouTube,1291,125,20
2025-01-29,X,1217,84,24
2024-10-25,X,1044,95,10
2024-10-16,X,1242,145,8
2024-10-12,X,883,106,18
2024-06-23,X,944,89,25
2024-09-23,Facebook,1139,146,15
2025-01-19,YouTube,938,81,14
2025-01-26,YouTube,1342,94,24
2025-01-20,X,972,95,11
2024-07-15,X,1247,88,12
2024-11-16,Facebook,1381,86,23
2024-12-05,X,1166,88,19
2025-05-17,Instagram,1437,121,14
2024-07-08,Instagram,1015,137,8
2024-12-10,Instagram,1381,129,8
2025-02-23,X,788,123,23
2025-05-27,TikTok,1175,121,20
2024-12-20,X,1521,123,10
2025-02-21,TikTok,1279,120,14
2024-09-21,Instagram,1218,120,8
