,id_venta,id_prod,id_producto,producto,rango,precio_unit,cantidad,fecha_venta,id_cat,categoria,precio_rango,dentro_camp,id_camp,canal,costo_mrkt
720,210,100,102,Adorno de pared,R2,71.67,4,2024-03-24,1,Decoración,66-91,0,0,,
708,270,100,103,Adorno de pared,R3,96.59,6,2024-03-22,1,Decoración,91-120,0,0,,
625,820,100,101,Adorno de pared,R1,36.55,3,2024-03-14,1,Decoración,25-66,0,0,,
304,40,100,103,Adorno de pared,R3,100.32,10,2024-02-05,1,Decoración,91-120,0,0,,
2919,800,100,103,Adorno de pared,R3,116.74,3,2024-12-21,1,Decoración,91-120,0,0,,
574,470,100,101,Adorno de pared,R1,34.68,5,2024-03-09,1,Decoración,25-66,0,0,,
38,560,100,101,Adorno de pared,R1,57.62,6,2024-01-07,1,Decoración,25-66,0,0,,
2881,370,100,103,Adorno de pared,R3,93.19,8,2024-12-16,1,Decoración,91-120,0,0,,
1798,860,100,101,Adorno de pared,R1,49.28,9,2024-08-01,1,Decoración,25-66,0,0,,
541,140,100,101,Adorno de pared,R1,44.91,1,2024-03-05,1,Decoración,25-66,0,0,,
435,720,100,102,Adorno de pared,R2,90.05,1,2024-02-21,1,Decoración,66-91,0,0,,
2049,280,100,101,Adorno de pared,R1,29.81,9,2024-09-01,1,Decoración,25-66,0,0,,
531,760,100,102,Adorno de pared,R2,77.65,1,2024-03-03,1,Decoración,66-91,0,0,,
2016,480,100,103,Adorno de pared,R3,117.68,10,2024-08-28,1,Decoración,91-120,0,0,,
995,320,100,101,Adorno de pared,R1,37.38,6,2024-04-25,1,Decoración,25-66,0,0,,
1982,450,100,102,Adorno de pared,R2,79.85,6,2024-08-24,1,Decoración,66-91,0,0,,
1756,290,100,103,Adorno de pared,R3,100.5,12,2024-07-27,1,Decoración,91-120,0,0,,
17,630,100,102,Adorno de pared,R2,71.99,9,2024-01-04,1,Decoración,66-91,0,0,,
2949,120,100,101,Adorno de pared,R1,64.26,6,2024-12-25,1,Decoración,25-66,0,0,,
1972,230,100,102,Adorno de pared,R2,88.01,1,2024-08-23,1,Decoración,66-91,0,0,,
466,930,100,102,Adorno de pared,R2,75.13,6,2024-02-24,1,Decoración,66-91,0,0,,
1962,490,100,103,Adorno de pared,R3,108.27,8,2024-08-22,1,Decoración,91-120,0,0,,
1951,940,100,102,Adorno de pared,R2,67.34,4,2024-08-21,1,Decoración,66-91,0,0,,
1942,710,100,102,Adorno de pared,R2,78.73,11,2024-08-20,1,Decoración,66-91,0,0,,
1939,540,100,103,Adorno de pared,R3,110.5,3,2024-08-20,1,Decoración,91-120,0,0,,
1937,180,100,103,Adorno de pared,R3,118.38,11,2024-08-20,1,Decoración,91-120,0,0,,
2980,240,100,102,Adorno de pared,R2,81.02,7,2024-12-29,1,Decoración,66-91,0,0,,
497,150,100,101,Adorno de pared,R1,27.92,5,2024-02-28,1,Decoración,25-66,0,0,,
1915,170,100,101,Adorno de pared,R1,36.04,11,2024-08-16,1,Decoración,25-66,0,0,,
1885,700,100,101,Adorno de pared,R1,41.59,1,2024-08-12,1,Decoración,25-66,0,0,,
2195,900,100,102,Adorno de pared,R2,78.06,9,2024-09-19,1,Decoración,66-91,0,0,,
1301,510,100,102,Adorno de pared,R2,79.02,5,2024-05-28,1,Decoración,66-91,0,0,,
2232,750,100,103,Adorno de pared,R3,108.77,2,2024-09-25,1,Decoración,91-120,0,0,,
2226,960,100,101,Adorno de pared,R1,56.56,8,2024-09-24,1,Decoración,25-66,0,0,,
2225,580,100,101,Adorno de pared,R1,41.81,12,2024-09-24,1,Decoración,25-66,0,0,,
347,840,100,103,Adorno de pared,R3,91.48,9,2024-02-10,1,Decoración,91-120,0,0,,
2884,980,100,102,Adorno de pared,R2,75.85,6,2024-12-16,1,Decoración,66-91,0,0,,
2211,250,100,103,Adorno de pared,R3,104.58,7,2024-09-22,1,Decoración,91-120,0,0,,
1065,100,100,103,Adorno de pared,R3,112.16,8,2024-05-02,1,Decoración,91-120,0,0,,
1668,200,100,103,Adorno de pared,R3,110.4,5,2024-07-16,1,Decoración,91-120,0,0,,
1720,870,100,102,Adorno de pared,R2,85.11,4,2024-07-22,1,Decoración,66-91,0,0,,
366,970,100,101,Adorno de pared,R1,37.5,3,2024-02-12,1,Decoración,25-66,0,0,,
357,205,110,113,Alfombra,R3,108.67,4,2024-02-11,1,Decoración,89-125,0,0,,
1871,295,110,111,Alfombra,R1,38.83,10,2024-08-10,1,Decoración,28-54,0,0,,
1599,965,110,112,Alfombra,R2,75.3,4,2024-07-07,1,Decoración,54-89,0,0,,
1998,675,110,112,Alfombra,R2,64.25,10,2024-08-26,1,Decoración,54-89,0,0,,
1693,155,110,112,Alfombra,R2,79.26,10,2024-07-19,1,Decoración,54-89,0,0,,
2525,5,110,112,Alfombra,R2,70.1,4,2024-11-02,1,Decoración,54-89,0,0,,
2040,325,110,112,Alfombra,R2,84.56,3,2024-08-31,1,Decoración,54-89,0,0,,
202,85,110,112,Alfombra,R2,71.14,2,2024-01-25,1,Decoración,54-89,0,0,,
731,595,110,112,Alfombra,R2,83.25,1,2024-03-25,1,Decoración,54-89,0,0,,
2527,605,110,113,Alfombra,R3,120.49,6,2024-11-02,1,Decoración,89-125,0,0,,
2281,705,110,111,Alfombra,R1,49.89,3,2024-09-30,1,Decoración,28-54,0,0,,
2279,565,110,112,Alfombra,R2,55.34,2,2024-09-30,1,Decoración,54-89,0,0,,
2277,415,110,112,Alfombra,R2,63.4,5,2024-09-30,1,Decoración,54-89,0,0,,
289,695,110,111,Alfombra,R1,51.29,2,2024-02-03,1,Decoración,28-54,0,0,,
1974,955,110,113,Alfombra,R3,93.23,7,2024-08-23,1,Decoración,89-125,0,0,,
2556,825,110,111,Alfombra,R1,34.7,1,2024-11-07,1,Decoración,28-54,0,0,,
1595,215,110,112,Alfombra,R2,73.11,3,2024-07-07,1,Decoración,54-89,0,0,,
2249,445,110,112,Alfombra,R2,70.36,12,2024-09-27,1,Decoración,54-89,0,0,,
2276,385,110,112,Alfombra,R2,86.29,3,2024-09-30,1,Decoración,54-89,0,0,,
324,895,110,113,Alfombra,R3,102.72,2,2024-02-07,1,Decoración,89-125,0,0,,
331,745,110,111,Alfombra,R1,50.02,12,2024-02-08,1,Decoración,28-54,0,0,,
1324,995,110,113,Alfombra,R3,109.03,10,2024-05-31,1,Decoración,89-125,0,0,,
1935,115,110,112,Alfombra,R2,54.17,6,2024-08-20,1,Decoración,54-89,0,0,,
2593,545,110,111,Alfombra,R1,43.63,1,2024-11-11,1,Decoración,28-54,0,0,,
1642,55,110,111,Alfombra,R1,53.54,12,2024-07-13,1,Decoración,28-54,0,0,,
1657,105,110,111,Alfombra,R1,43.53,9,2024-07-15,1,Decoración,28-54,0,0,,
496,95,110,112,Alfombra,R2,87.85,2,2024-02-28,1,Decoración,54-89,0,0,,
787,45,110,112,Alfombra,R2,72.91,1,2024-04-02,1,Decoración,54-89,0,0,,
2552,875,110,111,Alfombra,R1,36.34,5,2024-11-06,1,Decoración,28-54,0,0,,
463,365,110,112,Alfombra,R2,58.82,9,2024-02-24,1,Decoración,54-89,0,0,,
532,985,110,113,Alfombra,R3,118.35,3,2024-03-03,1,Decoración,89-125,0,0,,
1461,625,110,113,Alfombra,R3,124.91,3,2024-06-18,1,Decoración,89-125,0,0,,
1560,795,110,113,Alfombra,R3,124.05,10,2024-07-02,1,Decoración,89-125,0,0,,
670,505,110,113,Alfombra,R3,96.21,11,2024-03-18,1,Decoración,89-125,0,0,,
2378,725,110,113,Alfombra,R3,111.36,11,2024-10-12,1,Decoración,89-125,0,0,,
1559,735,110,111,Alfombra,R1,47.63,5,2024-07-02,1,Decoración,28-54,0,0,,
598,615,110,112,Alfombra,R2,65.09,5,2024-03-11,1,Decoración,54-89,0,0,,
1553,585,110,112,Alfombra,R2,72.74,3,2024-07-01,1,Decoración,54-89,0,0,,
1535,125,110,113,Alfombra,R3,92.8,2,2024-06-29,1,Decoración,89-125,0,0,,
1771,845,110,111,Alfombra,R1,46.7,3,2024-07-29,1,Decoración,28-54,0,0,,
576,805,110,111,Alfombra,R1,48.99,8,2024-03-09,1,Decoración,28-54,0,0,,
575,685,110,113,Alfombra,R3,102.81,9,2024-03-09,1,Decoración,89-125,0,0,,
406,275,110,111,Alfombra,R1,36.14,8,2024-02-18,1,Decoración,28-54,0,0,,
690,855,110,111,Alfombra,R1,48.79,11,2024-03-20,1,Decoración,28-54,0,0,,
1570,865,110,112,Alfombra,R2,80.74,6,2024-07-03,1,Decoración,54-89,0,0,,
1513,815,110,113,Alfombra,R3,124.88,7,2024-06-26,1,Decoración,89-125,0,0,,
2409,355,110,113,Alfombra,R3,124.48,4,2024-10-17,1,Decoración,89-125,0,0,,
2134,935,110,113,Alfombra,R3,97.17,5,2024-09-12,1,Decoración,89-125,0,0,,
567,435,110,113,Alfombra,R3,97.14,1,2024-03-08,1,Decoración,89-125,0,0,,
2476,835,110,112,Alfombra,R2,85.65,6,2024-10-27,1,Decoración,54-89,0,0,,
2475,755,110,111,Alfombra,R1,27.68,3,2024-10-27,1,Decoración,28-54,0,0,,
2473,25,110,111,Alfombra,R1,38.69,1,2024-10-27,1,Decoración,28-54,0,0,,
1582,335,110,111,Alfombra,R1,38.03,1,2024-07-05,1,Decoración,28-54,0,0,,
2607,655,110,113,Alfombra,R3,124.49,11,2024-11-13,1,Decoración,89-125,0,0,,
709,645,110,111,Alfombra,R1,36.17,1,2024-03-22,1,Decoración,28-54,0,0,,
1454,485,110,113,Alfombra,R3,113.9,2,2024-06-17,1,Decoración,89-125,0,0,,
1818,525,110,111,Alfombra,R1,29.53,12,2024-08-03,1,Decoración,28-54,0,0,,
1807,535,110,113,Alfombra,R3,115.82,1,2024-08-02,1,Decoración,89-125,0,0,,
557,635,110,111,Alfombra,R1,44.66,7,2024-03-07,1,Decoración,28-54,0,0,,
2083,515,110,111,Alfombra,R1,34.54,10,2024-09-06,1,Decoración,28-54,0,0,,
1576,165,110,113,Alfombra,R3,110.83,2,2024-07-04,1,Decoración,89-125,0,0,,
2084,665,110,112,Alfombra,R2,60.18,7,2024-09-06,1,Decoración,54-89,0,0,,
696,195,110,113,Alfombra,R3,115.12,12,2024-03-21,1,Decoración,89-125,0,0,,
707,65,110,112,Alfombra,R2,63.14,2,2024-03-22,1,Decoración,54-89,0,0,,
343,135,110,112,Alfombra,R2,78.47,1,2024-02-10,1,Decoración,54-89,0,0,,
1949,35,110,112,Alfombra,R2,65.8,11,2024-08-21,1,Decoración,54-89,0,0,,
1269,465,110,112,Alfombra,R2,76.75,2,2024-05-24,1,Decoración,54-89,0,0,,
2692,785,110,113,Alfombra,R3,97.3,5,2024-11-23,1,Decoración,89-125,0,0,,
1221,405,110,111,Alfombra,R1,33.36,10,2024-05-19,1,Decoración,28-54,0,0,,
2711,225,110,111,Alfombra,R1,28.53,6,2024-11-26,1,Decoración,28-54,0,0,,
837,345,110,112,Alfombra,R2,56.78,9,2024-04-07,1,Decoración,54-89,0,0,,
2726,715,110,111,Alfombra,R1,32.65,3,2024-11-27,1,Decoración,28-54,0,0,,
2752,775,110,113,Alfombra,R3,111.87,7,2024-11-30,1,Decoración,89-125,0,0,,
1156,495,110,113,Alfombra,R3,90.94,12,2024-05-12,1,Decoración,89-125,0,0,,
2789,555,110,113,Alfombra,R3,97.75,9,2024-12-04,1,Decoración,89-125,0,0,,
2798,175,110,113,Alfombra,R3,108.47,2,2024-12-05,1,Decoración,89-125,0,0,,
2799,455,110,112,Alfombra,R2,82.6,11,2024-12-05,1,Decoración,54-89,0,0,,
1109,915,110,111,Alfombra,R1,43.37,11,2024-05-06,1,Decoración,28-54,0,0,,
2828,265,110,112,Alfombra,R2,66.72,12,2024-12-10,1,Decoración,54-89,0,0,,
69,315,110,113,Alfombra,R3,122.07,9,2024-01-10,1,Decoración,89-125,0,0,,
897,285,110,113,Alfombra,R3,107.8,7,2024-04-14,1,Decoración,89-125,0,0,,
1057,475,110,113,Alfombra,R3,120.18,3,2024-05-01,1,Decoración,89-125,0,0,,
908,185,110,111,Alfombra,R1,45.21,6,2024-04-15,1,Decoración,28-54,0,0,,
1049,975,110,111,Alfombra,R1,28.96,5,2024-04-30,1,Decoración,28-54,0,0,,
1047,255,110,112,Alfombra,R2,68.38,7,2024-04-30,1,Decoración,54-89,0,0,,
2901,75,110,112,Alfombra,R2,65.48,5,2024-12-18,1,Decoración,54-89,0,0,,
2912,15,110,111,Alfombra,R1,47.77,6,2024-12-20,1,Decoración,28-54,0,0,,
1018,375,110,112,Alfombra,R2,70.93,8,2024-04-27,1,Decoración,54-89,0,0,,
1006,765,110,112,Alfombra,R2,72.71,1,2024-04-26,1,Decoración,54-89,0,0,,
987,945,110,112,Alfombra,R2,60.74,12,2024-04-24,1,Decoración,54-89,0,0,,
940,925,110,111,Alfombra,R1,52.55,11,2024-04-18,1,Decoración,28-54,0,0,,
972,305,110,113,Alfombra,R3,91.25,2,2024-04-22,1,Decoración,89-125,0,0,,
946,905,110,113,Alfombra,R3,112.82,9,2024-04-19,1,Decoración,89-125,0,0,,
2989,235,110,113,Alfombra,R3,112.51,6,2024-12-30,1,Decoración,89-125,0,0,,
824,145,110,111,Alfombra,R1,41.72,8,2024-04-06,1,Decoración,28-54,0,0,,
1222,575,110,113,Alfombra,R3,110.42,11,2024-05-19,1,Decoración,89-125,0,0,,
1919,245,110,111,Alfombra,R1,44.82,11,2024-08-17,1,Decoración,28-54,0,0,,
2613,885,110,113,Alfombra,R3,97.56,1,2024-11-14,1,Decoración,89-125,0,0,,
155,395,110,111,Alfombra,R1,33.48,12,2024-01-19,1,Decoración,28-54,0,0,,
1251,425,110,111,Alfombra,R1,45.68,10,2024-05-22,1,Decoración,28-54,0,0,,
1392,1474,120,122,Aspiradora,R2,91.09,11,2024-06-08,2,Electrodomésticos,64-93,0,0,,
65,1584,120,123,Aspiradora,R3,99.58,7,2024-01-09,2,Electrodomésticos,93-125,0,0,,
2874,1834,120,121,Aspiradora,R1,51.5,6,2024-12-15,2,Electrodomésticos,26-64,0,0,,
1662,1494,120,122,Aspiradora,R2,82.5,6,2024-07-15,2,Electrodomésticos,64-93,0,0,,
1664,1604,120,123,Aspiradora,R3,99.9,8,2024-07-15,2,Electrodomésticos,93-125,0,0,,
2251,1674,120,121,Aspiradora,R1,40.59,8,2024-09-27,2,Electrodomésticos,26-64,0,0,,
349,1294,120,121,Aspiradora,R1,26.11,9,2024-02-10,2,Electrodomésticos,26-64,0,0,,
1673,1824,120,121,Aspiradora,R1,44.78,12,2024-07-16,2,Electrodomésticos,26-64,0,0,,
1688,1614,120,121,Aspiradora,R1,56.92,7,2024-07-18,2,Electrodomésticos,26-64,0,0,,
1690,1714,120,122,Aspiradora,R2,75.51,12,2024-07-18,2,Electrodomésticos,64-93,0,0,,
53,1734,120,121,Aspiradora,R1,50.86,4,2024-01-08,2,Electrodomésticos,26-64,0,0,,
913,1134,120,122,Aspiradora,R2,69.06,11,2024-04-15,2,Electrodomésticos,64-93,0,0,,
1705,1364,120,122,Aspiradora,R2,68.72,11,2024-07-20,2,Electrodomésticos,64-93,0,0,,
2897,1504,120,121,Aspiradora,R1,42.52,2,2024-12-17,2,Electrodomésticos,26-64,0,0,,
2268,1704,120,123,Aspiradora,R3,111.82,9,2024-09-29,2,Electrodomésticos,93-125,0,0,,
1081,1004,120,123,Aspiradora,R3,107,8,2024-05-03,2,Electrodomésticos,93-125,0,0,,
75,1464,120,121,Aspiradora,R1,36.38,5,2024-01-10,2,Electrodomésticos,26-64,0,0,,
915,1454,120,121,Aspiradora,R1,51.46,4,2024-04-15,2,Electrodomésticos,26-64,0,0,,
2387,1034,120,121,Aspiradora,R1,44.82,2,2024-10-13,2,Electrodomésticos,26-64,0,0,,
673,1384,120,122,Aspiradora,R2,80.38,9,2024-03-18,2,Electrodomésticos,64-93,0,0,,
1110,1304,120,123,Aspiradora,R3,99.07,8,2024-05-06,2,Electrodomésticos,93-125,0,0,,
2806,1194,120,121,Aspiradora,R1,56.97,1,2024-12-06,2,Electrodomésticos,26-64,0,0,,
2360,1724,120,123,Aspiradora,R3,95.89,1,2024-10-10,2,Electrodomésticos,93-125,0,0,,
2343,1204,120,122,Aspiradora,R2,87.88,2,2024-10-08,2,Electrodomésticos,64-93,0,0,,
2819,1264,120,123,Aspiradora,R3,114.28,6,2024-12-08,2,Electrodomésticos,93-125,0,0,,
298,1424,120,122,Aspiradora,R2,69.31,10,2024-02-04,2,Electrodomésticos,64-93,0,0,,
662,1164,120,123,Aspiradora,R3,102.32,2,2024-03-17,2,Electrodomésticos,93-125,0,0,,
82,1234,120,121,Aspiradora,R1,36.89,7,2024-01-11,2,Electrodomésticos,26-64,0,0,,
1101,1484,120,122,Aspiradora,R2,79.74,6,2024-05-05,2,Electrodomésticos,64-93,0,0,,
883,1394,120,122,Aspiradora,R2,68.73,5,2024-04-12,2,Electrodomésticos,64-93,0,0,,
312,1064,120,122,Aspiradora,R2,65,9,2024-02-06,2,Electrodomésticos,64-93,0,0,,
2287,1644,120,123,Aspiradora,R3,123.36,11,2024-09-30,2,Electrodomésticos,93-125,0,0,,
2846,1414,120,122,Aspiradora,R2,85.23,10,2024-12-12,2,Electrodomésticos,64-93,0,0,,
1630,1884,120,123,Aspiradora,R3,94.69,4,2024-07-11,2,Electrodomésticos,93-125,0,0,,
602,1934,120,121,Aspiradora,R1,42.94,2,2024-03-11,2,Electrodomésticos,26-64,0,0,,
176,1754,120,123,Aspiradora,R3,104.86,8,2024-01-21,2,Electrodomésticos,93-125,0,0,,
1725,1444,120,123,Aspiradora,R3,118.58,2,2024-07-23,2,Electrodomésticos,93-125,0,0,,
1867,1654,120,122,Aspiradora,R2,83.9,1,2024-08-09,2,Electrodomésticos,64-93,0,0,,
1986,1114,120,122,Aspiradora,R2,86.38,10,2024-08-24,2,Electrodomésticos,64-93,0,0,,
1985,1074,120,121,Aspiradora,R1,31.76,8,2024-08-24,2,Electrodomésticos,26-64,0,0,,
2946,1794,120,121,Aspiradora,R1,61.8,12,2024-12-24,2,Electrodomésticos,26-64,0,0,,
513,1984,120,122,Aspiradora,R2,88.95,11,2024-02-29,2,Electrodomésticos,64-93,0,0,,
12,1814,120,122,Aspiradora,R2,70.91,2,2024-01-03,2,Electrodomésticos,64-93,0,0,,
1893,1514,120,122,Aspiradora,R2,82.69,3,2024-08-13,2,Electrodomésticos,64-93,0,0,,
10,1374,120,123,Aspiradora,R3,95.9,5,2024-01-03,2,Electrodomésticos,93-125,0,0,,
1953,1124,120,122,Aspiradora,R2,92.55,4,2024-08-21,2,Electrodomésticos,64-93,0,0,,
2623,1564,120,121,Aspiradora,R1,60.8,1,2024-11-15,2,Electrodomésticos,26-64,0,0,,
947,1224,120,123,Aspiradora,R3,110.58,4,2024-04-19,2,Electrodomésticos,93-125,0,0,,
1899,1054,120,122,Aspiradora,R2,86.59,2,2024-08-14,2,Electrodomésticos,64-93,0,0,,
943,1914,120,122,Aspiradora,R2,92.52,1,2024-04-18,2,Electrodomésticos,64-93,0,0,,
2975,1274,120,123,Aspiradora,R3,124.15,9,2024-12-28,2,Electrodomésticos,93-125,0,0,,
1912,1894,120,121,Aspiradora,R1,55.65,5,2024-08-15,2,Electrodomésticos,26-64,0,0,,
2020,1994,120,123,Aspiradora,R3,109.08,7,2024-08-28,2,Electrodomésticos,93-125,0,0,,
1349,1664,120,122,Aspiradora,R2,69.63,12,2024-06-02,2,Electrodomésticos,64-93,0,0,,
1855,1284,120,121,Aspiradora,R1,31.94,7,2024-08-07,2,Electrodomésticos,26-64,0,0,,
1841,1174,120,122,Aspiradora,R2,69.14,8,2024-08-05,2,Electrodomésticos,64-93,0,0,,
2184,1044,120,121,Aspiradora,R1,47.53,1,2024-09-17,2,Electrodomésticos,26-64,0,0,,
44,1524,120,122,Aspiradora,R2,65.55,8,2024-01-07,2,Electrodomésticos,64-93,0,0,,
579,1844,120,122,Aspiradora,R2,86.29,12,2024-03-09,2,Electrodomésticos,64-93,0,0,,
1034,1964,120,121,Aspiradora,R1,52.92,10,2024-04-28,2,Electrodomésticos,26-64,0,0,,
402,1924,120,121,Aspiradora,R1,38.1,9,2024-02-17,2,Electrodomésticos,26-64,0,0,,
2914,1624,120,121,Aspiradora,R1,28.64,9,2024-12-20,2,Electrodomésticos,26-64,0,0,,
2127,1404,120,122,Aspiradora,R2,76.1,11,2024-09-11,2,Electrodomésticos,64-93,0,0,,
569,1434,120,121,Aspiradora,R1,60.42,11,2024-03-08,2,Electrodomésticos,26-64,0,0,,
2114,1954,120,122,Aspiradora,R2,79.88,3,2024-09-09,2,Electrodomésticos,64-93,0,0,,
1790,1944,120,121,Aspiradora,R1,55.59,1,2024-07-31,2,Electrodomésticos,26-64,0,0,,
2100,1184,120,122,Aspiradora,R2,69.85,3,2024-09-08,2,Electrodomésticos,64-93,0,0,,
2920,1594,120,121,Aspiradora,R1,46.9,8,2024-12-21,2,Electrodomésticos,26-64,0,0,,
1021,1804,120,121,Aspiradora,R1,43.25,7,2024-04-27,2,Electrodomésticos,26-64,0,0,,
1801,1854,120,123,Aspiradora,R3,103.99,8,2024-08-01,2,Electrodomésticos,93-125,0,0,,
925,1864,120,121,Aspiradora,R1,54.94,3,2024-04-16,2,Electrodomésticos,26-64,0,0,,
2054,1684,120,121,Aspiradora,R1,58.65,2,2024-09-01,2,Electrodomésticos,26-64,0,0,,
2792,1324,120,123,Aspiradora,R3,106.89,5,2024-12-04,2,Electrodomésticos,93-125,0,0,,
2651,1314,120,122,Aspiradora,R2,86.12,6,2024-11-18,2,Electrodomésticos,64-93,0,0,,
327,1554,120,123,Aspiradora,R3,124.82,3,2024-02-07,2,Electrodomésticos,93-125,0,0,,
1421,1154,120,123,Aspiradora,R3,95.11,4,2024-06-12,2,Electrodomésticos,93-125,0,0,,
